algo,grid,seed,episode,global_step,episode_return,episode_length,success,epsilon,mean_loss
DQN,deceptive_grid,0,1,200,-296.0,200,0,0.9977,
DQN,deceptive_grid,0,2,400,-249.0,200,0,0.9955,
DQN,deceptive_grid,0,3,600,-253.0,200,0,0.9932,
DQN,deceptive_grid,0,4,800,-219.0,200,0,0.991,
DQN,deceptive_grid,0,5,1000,-263.0,200,0,0.9887,0.737136
DQN,deceptive_grid,0,6,1200,-246.0,200,0,0.9864,0.390627
DQN,deceptive_grid,0,7,1400,-256.0,200,0,0.9842,0.232973
DQN,deceptive_grid,0,8,1600,-260.0,200,0,0.9819,0.21283
DQN,deceptive_grid,0,9,1800,-234.0,200,0,0.9796,0.193242
DQN,deceptive_grid,0,10,1875,-78.0,75,1,0.9788,0.203169
DQN,deceptive_grid,0,11,2075,-343.0,200,0,0.9765,0.232658
DQN,deceptive_grid,0,12,2077,11.0,2,1,0.9765,0.192273
DQN,deceptive_grid,0,13,2277,-266.0,200,0,0.9742,0.238662
DQN,deceptive_grid,0,14,2477,-289.0,200,0,0.972,0.222652
DQN,deceptive_grid,0,15,2491,-4.0,14,1,0.9718,0.307685
DQN,deceptive_grid,0,16,2691,-254.0,200,0,0.9696,0.221618
DQN,deceptive_grid,0,17,2891,-293.0,200,0,0.9673,0.202331
DQN,deceptive_grid,0,18,3091,-244.0,200,0,0.965,0.193818
DQN,deceptive_grid,0,19,3291,-264.0,200,0,0.9628,0.188101
DQN,deceptive_grid,0,20,3371,-120.0,80,1,0.9619,0.185041
DQN,deceptive_grid,0,21,3571,-219.0,200,0,0.9596,0.175568
DQN,deceptive_grid,0,22,3771,-290.0,200,0,0.9574,0.170723
DQN,deceptive_grid,0,23,3971,-257.0,200,0,0.9551,0.16502
DQN,deceptive_grid,0,24,4171,-230.0,200,0,0.9528,0.158668
DQN,deceptive_grid,0,25,4371,-316.0,200,0,0.9506,0.15972
DQN,deceptive_grid,0,26,4373,11.0,2,1,0.9505,0.14266
DQN,deceptive_grid,0,27,4573,-217.0,200,0,0.9483,0.154771
DQN,deceptive_grid,0,28,4773,-268.0,200,0,0.946,0.154945
DQN,deceptive_grid,0,29,4973,-313.0,200,0,0.9438,0.144778
DQN,deceptive_grid,0,30,5167,-237.0,194,1,0.9416,0.145575
DQN,deceptive_grid,0,31,5170,11.0,3,1,0.9415,0.133473
DQN,deceptive_grid,0,32,5370,-217.0,200,0,0.9393,0.144767
DQN,deceptive_grid,0,33,5570,-237.0,200,0,0.937,0.132118
DQN,deceptive_grid,0,34,5631,-50.0,61,1,0.9363,0.147567
DQN,deceptive_grid,0,35,5831,-277.0,200,0,0.9341,0.142398
DQN,deceptive_grid,0,36,6031,-245.0,200,0,0.9318,0.127377
DQN,deceptive_grid,0,37,6231,-300.0,200,0,0.9295,0.133088
DQN,deceptive_grid,0,38,6431,-249.0,200,0,0.9273,0.124538
DQN,deceptive_grid,0,39,6600,-225.0,169,1,0.9254,0.121817
DQN,deceptive_grid,0,40,6800,-316.0,200,0,0.9231,0.115803
DQN,deceptive_grid,0,41,6904,-119.0,104,1,0.9219,0.102085
DQN,deceptive_grid,0,42,7104,-294.0,200,0,0.9197,0.118599
DQN,deceptive_grid,0,43,7304,-226.0,200,0,0.9174,0.114558
DQN,deceptive_grid,0,44,7504,-203.0,200,0,0.9151,0.099467
DQN,deceptive_grid,0,45,7704,-240.0,200,0,0.9129,0.105206
DQN,deceptive_grid,0,46,7803,-90.0,99,1,0.9118,0.113939
DQN,deceptive_grid,0,47,7999,-267.0,196,1,0.9095,0.114036
DQN,deceptive_grid,0,48,8199,-269.0,200,0,0.9073,0.099359
DQN,deceptive_grid,0,49,8289,-70.0,90,1,0.9063,0.093302
DQN,deceptive_grid,0,50,8309,-15.0,20,1,0.906,0.092572
DQN,deceptive_grid,0,51,8400,-95.0,91,1,0.905,0.098293
DQN,deceptive_grid,0,52,8450,-39.0,50,1,0.9044,0.090491
DQN,deceptive_grid,0,53,8607,-210.0,157,1,0.9027,0.089403
DQN,deceptive_grid,0,54,8641,-32.0,34,1,0.9023,0.096973
DQN,deceptive_grid,0,55,8670,-39.0,29,1,0.9019,0.085798
DQN,deceptive_grid,0,56,8697,-14.0,27,1,0.9016,0.107691
DQN,deceptive_grid,0,57,8897,-313.0,200,0,0.8994,0.117498
DQN,deceptive_grid,0,58,8966,-97.0,69,1,0.8986,0.111813
DQN,deceptive_grid,0,59,9166,-254.0,200,0,0.8963,0.101237
DQN,deceptive_grid,0,60,9366,-351.0,200,0,0.8941,0.121269
DQN,deceptive_grid,0,61,9391,-17.0,25,1,0.8938,0.121125
DQN,deceptive_grid,0,62,9525,-123.0,134,1,0.8923,0.110544
DQN,deceptive_grid,0,63,9725,-298.0,200,0,0.89,0.118975
DQN,deceptive_grid,0,64,9925,-271.0,200,0,0.8878,0.143749
DQN,deceptive_grid,0,65,9989,-61.0,64,1,0.887,0.090524
DQN,deceptive_grid,0,66,10189,-242.0,200,0,0.8848,0.127985
DQN,deceptive_grid,0,67,10232,-29.0,43,1,0.8843,0.09254
DQN,deceptive_grid,0,68,10298,-63.0,66,1,0.8835,0.107054
DQN,deceptive_grid,0,69,10403,-107.0,105,1,0.8823,0.110288
DQN,deceptive_grid,0,70,10603,-263.0,200,0,0.8801,0.121663
DQN,deceptive_grid,0,71,10803,-202.0,200,0,0.8778,0.127512
DQN,deceptive_grid,0,72,11003,-272.0,200,0,0.8756,0.106853
DQN,deceptive_grid,0,73,11203,-221.0,200,0,0.8733,0.124177
DQN,deceptive_grid,0,74,11253,-48.0,50,1,0.8727,0.104364
DQN,deceptive_grid,0,75,11329,-126.0,76,1,0.8719,0.10689
DQN,deceptive_grid,0,76,11529,-299.0,200,0,0.8696,0.103921
DQN,deceptive_grid,0,77,11729,-249.0,200,0,0.8674,0.114376
DQN,deceptive_grid,0,78,11801,-96.0,72,1,0.8665,0.136467
DQN,deceptive_grid,0,79,12001,-263.0,200,0,0.8643,0.122936
DQN,deceptive_grid,0,80,12201,-221.0,200,0,0.862,0.117186
DQN,deceptive_grid,0,81,12296,-134.0,95,1,0.8609,0.119233
DQN,deceptive_grid,0,82,12393,-105.0,97,1,0.8598,0.134557
DQN,deceptive_grid,0,83,12554,-185.0,161,1,0.858,0.143732
DQN,deceptive_grid,0,84,12754,-292.0,200,0,0.8558,0.133811
DQN,deceptive_grid,0,85,12878,-129.0,124,1,0.8544,0.125668
DQN,deceptive_grid,0,86,13078,-351.0,200,0,0.8521,0.139767
DQN,deceptive_grid,0,87,13256,-236.0,178,1,0.8501,0.135736
DQN,deceptive_grid,0,88,13378,-126.0,122,1,0.8487,0.14205
DQN,deceptive_grid,0,89,13419,-34.0,41,1,0.8482,0.127906
DQN,deceptive_grid,0,90,13489,-65.0,70,1,0.8474,0.15015
DQN,deceptive_grid,0,91,13689,-278.0,200,0,0.8452,0.180029
DQN,deceptive_grid,0,92,13791,-94.0,102,1,0.844,0.152649
DQN,deceptive_grid,0,93,13959,-174.0,168,1,0.8421,0.149735
DQN,deceptive_grid,0,94,14132,-209.0,173,1,0.8402,0.17957
DQN,deceptive_grid,0,95,14144,-3.0,12,1,0.84,0.183683
DQN,deceptive_grid,0,96,14204,-45.0,60,1,0.8394,0.198136
DQN,deceptive_grid,0,97,14304,-98.0,100,1,0.8382,0.171452
DQN,deceptive_grid,0,98,14504,-225.0,200,0,0.836,0.16513
DQN,deceptive_grid,0,99,14613,-116.0,109,1,0.8347,0.203857
DQN,deceptive_grid,0,100,14641,-30.0,28,1,0.8344,0.19055
DQN,deceptive_grid,0,101,14728,-63.0,87,1,0.8334,0.202027
DQN,deceptive_grid,0,102,14780,-58.0,52,1,0.8328,0.179437
DQN,deceptive_grid,0,103,14980,-271.0,200,0,0.8306,0.175563
DQN,deceptive_grid,0,104,15102,-125.0,122,1,0.8292,0.233135
DQN,deceptive_grid,0,105,15104,11.0,2,1,0.8292,0.247176
DQN,deceptive_grid,0,106,15165,-62.0,61,1,0.8285,0.208781
DQN,deceptive_grid,0,107,15348,-192.0,183,1,0.8264,0.197952
DQN,deceptive_grid,0,108,15524,-231.0,176,1,0.8244,0.201608
DQN,deceptive_grid,0,109,15549,-8.0,25,1,0.8241,0.258254
DQN,deceptive_grid,0,110,15749,-207.0,200,0,0.8219,0.228634
DQN,deceptive_grid,0,111,15823,-94.0,74,1,0.821,0.21797
DQN,deceptive_grid,0,112,15908,-85.0,85,1,0.8201,0.257562
DQN,deceptive_grid,0,113,15911,11.0,3,1,0.8201,0.175222
DQN,deceptive_grid,0,114,15971,-60.0,60,1,0.8194,0.206998
DQN,deceptive_grid,0,115,16006,-25.0,35,1,0.819,0.23796
DQN,deceptive_grid,0,116,16007,11.0,1,1,0.819,0.280551
DQN,deceptive_grid,0,117,16118,-158.0,111,1,0.8177,0.273673
DQN,deceptive_grid,0,118,16181,-54.0,63,1,0.817,0.235731
DQN,deceptive_grid,0,119,16381,-233.0,200,0,0.8147,0.236886
DQN,deceptive_grid,0,120,16553,-173.0,172,1,0.8128,0.240582
DQN,deceptive_grid,0,121,16656,-111.0,103,1,0.8116,0.240157
DQN,deceptive_grid,0,122,16856,-254.0,200,0,0.8094,0.239682
DQN,deceptive_grid,0,123,16907,-50.0,51,1,0.8088,0.227082
DQN,deceptive_grid,0,124,17031,-120.0,124,1,0.8074,0.241971
DQN,deceptive_grid,0,125,17061,-20.0,30,1,0.807,0.242356
DQN,deceptive_grid,0,126,17261,-284.0,200,0,0.8048,0.244787
DQN,deceptive_grid,0,127,17347,-111.0,86,1,0.8038,0.244986
DQN,deceptive_grid,0,128,17390,-29.0,43,1,0.8033,0.213568
DQN,deceptive_grid,0,129,17406,-7.0,16,1,0.8031,0.223242
DQN,deceptive_grid,0,130,17478,-56.0,72,1,0.8023,0.246561
DQN,deceptive_grid,0,131,17542,-92.0,64,1,0.8016,0.309518
DQN,deceptive_grid,0,132,17586,-31.0,44,1,0.8011,0.275149
DQN,deceptive_grid,0,133,17629,-39.0,43,1,0.8006,0.247416
DQN,deceptive_grid,0,134,17829,-228.0,200,0,0.7984,0.24168
DQN,deceptive_grid,0,135,17928,-105.0,99,1,0.7972,0.210962
DQN,deceptive_grid,0,136,17994,-59.0,66,1,0.7965,0.21066
DQN,deceptive_grid,0,137,18080,-76.0,86,1,0.7955,0.276283
DQN,deceptive_grid,0,138,18119,-34.0,39,1,0.7951,0.273455
DQN,deceptive_grid,0,139,18143,-16.0,24,1,0.7948,0.229126
DQN,deceptive_grid,0,140,18177,-13.0,34,1,0.7944,0.242371
DQN,deceptive_grid,0,141,18377,-297.0,200,0,0.7922,0.218205
