algo,grid,seed,episode,global_step,episode_return,episode_length,success,epsilon,mean_loss
DQN,deceptive_grid,0,1,200,-259.56,200,0,0.9977,
DQN,deceptive_grid,0,2,400,-152.48,200,0,0.9955,
DQN,deceptive_grid,0,3,600,-152.48,200,0,0.9932,
DQN,deceptive_grid,0,4,800,-129.16,200,0,0.991,
DQN,deceptive_grid,0,5,1000,-135.6,200,0,0.9887,3.426913
DQN,deceptive_grid,0,6,1185,-48.92,185,1,0.9866,1.830705
DQN,deceptive_grid,0,7,1385,-126.72,200,0,0.9843,1.096687
DQN,deceptive_grid,0,8,1585,-100.44,200,0,0.9821,1.028959
DQN,deceptive_grid,0,9,1785,-164.52,200,0,0.9798,0.765268
DQN,deceptive_grid,0,10,1901,-76.92,116,1,0.9785,0.773991
DQN,deceptive_grid,0,11,2101,-333.44,200,0,0.9762,0.975163
DQN,deceptive_grid,0,12,2139,-27.68,38,1,0.9758,0.879756
DQN,deceptive_grid,0,13,2339,-186.36,200,0,0.9735,0.846366
DQN,deceptive_grid,0,14,2539,-242.16,200,0,0.9713,0.901189
DQN,deceptive_grid,0,15,2590,-44.4,51,1,0.9707,0.83706
DQN,deceptive_grid,0,16,2670,-45.56,80,1,0.9698,0.781012
DQN,deceptive_grid,0,17,2870,-195.2,200,0,0.9675,0.759682
DQN,deceptive_grid,0,18,3070,-190.68,200,0,0.9653,0.856223
DQN,deceptive_grid,0,19,3270,-134.84,200,0,0.963,0.781837
DQN,deceptive_grid,0,20,3371,-93.4,101,1,0.9619,0.775088
DQN,deceptive_grid,0,21,3571,-99.16,200,0,0.9596,0.840486
DQN,deceptive_grid,0,22,3771,-233.92,200,0,0.9574,0.76995
DQN,deceptive_grid,0,23,3971,-189.84,200,0,0.9551,0.735911
DQN,deceptive_grid,0,24,4171,-90.04,200,0,0.9528,0.871796
DQN,deceptive_grid,0,25,4371,-323.2,200,0,0.9506,0.797203
DQN,deceptive_grid,0,26,4373,17.04,2,1,0.9505,0.674019
DQN,deceptive_grid,0,27,4573,-156.68,200,0,0.9483,0.862945
DQN,deceptive_grid,0,28,4773,-143.16,200,0,0.946,0.806807
DQN,deceptive_grid,0,29,4973,-237.36,200,0,0.9438,0.767137
DQN,deceptive_grid,0,30,5173,-177.68,200,0,0.9415,0.857579
DQN,deceptive_grid,0,31,5235,-58.24,62,1,0.9408,0.735698
DQN,deceptive_grid,0,32,5435,-98.68,200,0,0.9385,0.766311
DQN,deceptive_grid,0,33,5635,-116.6,200,0,0.9363,0.866595
DQN,deceptive_grid,0,34,5702,-75.08,67,1,0.9355,0.826071
DQN,deceptive_grid,0,35,5902,-143.44,200,0,0.9333,0.7609
DQN,deceptive_grid,0,36,6102,-128.68,200,0,0.931,0.795479
DQN,deceptive_grid,0,37,6302,-141.96,200,0,0.9287,0.741757
DQN,deceptive_grid,0,38,6502,-176.04,200,0,0.9265,0.711063
DQN,deceptive_grid,0,39,6598,-32.04,96,1,0.9254,0.799388
DQN,deceptive_grid,0,40,6798,-142.08,200,0,0.9231,0.715198
DQN,deceptive_grid,0,41,6998,-169.52,200,0,0.9209,0.642432
DQN,deceptive_grid,0,42,7198,-193.84,200,0,0.9186,0.738373
DQN,deceptive_grid,0,43,7390,-56.12,192,1,0.9164,0.640861
DQN,deceptive_grid,0,44,7590,-127.88,200,0,0.9142,0.682242
DQN,deceptive_grid,0,45,7790,-110.6,200,0,0.9119,0.635371
DQN,deceptive_grid,0,46,7842,-0.8,52,1,0.9113,0.689754
DQN,deceptive_grid,0,47,7962,-42.48,120,1,0.91,0.620192
DQN,deceptive_grid,0,48,8162,-301.52,200,0,0.9077,0.698337
DQN,deceptive_grid,0,49,8362,-153.36,200,0,0.9054,0.607331
DQN,deceptive_grid,0,50,8562,-236.64,200,0,0.9032,0.687329
DQN,deceptive_grid,0,51,8760,-156.36,198,1,0.9009,0.641744
DQN,deceptive_grid,0,52,8960,-170.68,200,0,0.8987,0.656013
DQN,deceptive_grid,0,53,9160,-131.84,200,0,0.8964,0.681609
DQN,deceptive_grid,0,54,9269,-84.88,109,1,0.8952,0.629673
DQN,deceptive_grid,0,55,9285,4.6,16,1,0.895,0.693602
DQN,deceptive_grid,0,56,9327,-23.64,42,1,0.8945,0.670506
DQN,deceptive_grid,0,57,9527,-124.36,200,0,0.8923,0.669319
DQN,deceptive_grid,0,58,9656,-102.84,129,1,0.8908,0.686963
DQN,deceptive_grid,0,59,9701,12.92,45,1,0.8903,0.679517
DQN,deceptive_grid,0,60,9901,-335.32,200,0,0.888,0.654586
DQN,deceptive_grid,0,61,9952,-18.2,51,1,0.8874,0.580068
DQN,deceptive_grid,0,62,10062,-79.52,110,1,0.8862,0.72175
DQN,deceptive_grid,0,63,10262,-350.4,200,0,0.8839,0.691904
DQN,deceptive_grid,0,64,10462,-115.56,200,0,0.8817,0.629397
DQN,deceptive_grid,0,65,10507,-2.72,45,1,0.8812,0.751233
DQN,deceptive_grid,0,66,10707,-100.52,200,0,0.8789,0.73199
DQN,deceptive_grid,0,67,10854,-83.68,147,1,0.8772,0.682672
DQN,deceptive_grid,0,68,11054,-226.68,200,0,0.875,0.697241
DQN,deceptive_grid,0,69,11086,-25.92,32,1,0.8746,0.73807
DQN,deceptive_grid,0,70,11264,-156.44,178,1,0.8726,0.715075
DQN,deceptive_grid,0,71,11464,-194.36,200,0,0.8703,0.699165
DQN,deceptive_grid,0,72,11664,-143.68,200,0,0.8681,0.752793
DQN,deceptive_grid,0,73,11864,-148.04,200,0,0.8658,0.734581
DQN,deceptive_grid,0,74,11926,-26.64,62,1,0.8651,0.728094
DQN,deceptive_grid,0,75,12126,-194.48,200,0,0.8629,0.772682
DQN,deceptive_grid,0,76,12234,-46.48,108,1,0.8616,0.737649
DQN,deceptive_grid,0,77,12434,-88.68,200,0,0.8594,0.713611
DQN,deceptive_grid,0,78,12634,-190.28,200,0,0.8571,0.758385
DQN,deceptive_grid,0,79,12734,-62.16,100,1,0.856,0.730341
DQN,deceptive_grid,0,80,12903,-91.56,169,1,0.8541,0.74205
DQN,deceptive_grid,0,81,12977,-31.08,74,1,0.8532,0.757379
DQN,deceptive_grid,0,82,13177,-152.6,200,0,0.851,0.782428
DQN,deceptive_grid,0,83,13377,-149.04,200,0,0.8487,0.75323
DQN,deceptive_grid,0,84,13446,-4.36,69,1,0.8479,0.734541
DQN,deceptive_grid,0,85,13646,-195.08,200,0,0.8457,0.792981
DQN,deceptive_grid,0,86,13846,-160.64,200,0,0.8434,0.719798
