algo,grid,seed,episode,global_step,episode_return,episode_length,success,epsilon,mean_loss
DQN,small_grid,0,1,200,-472.0,200,0,0.9977,
DQN,small_grid,0,2,206,1.0,6,1,0.9977,
DQN,small_grid,0,3,377,-396.0,171,1,0.9957,
DQN,small_grid,0,4,380,8.0,3,1,0.9957,
DQN,small_grid,0,5,426,-119.0,46,1,0.9952,
DQN,small_grid,0,6,431,2.0,5,1,0.9951,
DQN,small_grid,0,7,565,-351.0,134,1,0.9936,
DQN,small_grid,0,8,700,-300.0,135,1,0.9921,
DQN,small_grid,0,9,771,-152.0,71,1,0.9913,
DQN,small_grid,0,10,814,-116.0,43,1,0.9908,
DQN,small_grid,0,11,836,-39.0,22,1,0.9905,
DQN,small_grid,0,12,1011,-384.0,175,1,0.9886,1.703574
DQN,small_grid,0,13,1108,-234.0,97,1,0.9875,1.186691
DQN,small_grid,0,14,1308,-528.0,200,0,0.9852,0.816041
DQN,small_grid,0,15,1332,-33.0,24,1,0.9849,0.509877
DQN,small_grid,0,16,1474,-339.0,142,1,0.9833,0.476583
DQN,small_grid,0,17,1674,-600.0,200,0,0.9811,0.456418
DQN,small_grid,0,18,1746,-181.0,72,1,0.9803,0.343855
DQN,small_grid,0,19,1946,-496.0,200,0,0.978,0.352247
DQN,small_grid,0,20,2143,-482.0,197,1,0.9758,0.286936
DQN,small_grid,0,21,2148,-2.0,5,1,0.9757,0.176148
DQN,small_grid,0,22,2161,-14.0,13,1,0.9756,0.281834
DQN,small_grid,0,23,2361,-520.0,200,0,0.9733,0.25078
DQN,small_grid,0,24,2381,-45.0,20,1,0.9731,0.22263
DQN,small_grid,0,25,2389,-9.0,8,1,0.973,0.292809
DQN,small_grid,0,26,2414,-50.0,25,1,0.9727,0.206819
DQN,small_grid,0,27,2486,-137.0,72,1,0.9719,0.20903
DQN,small_grid,0,28,2532,-111.0,46,1,0.9714,0.245817
DQN,small_grid,0,29,2544,-5.0,12,1,0.9712,0.151182
DQN,small_grid,0,30,2585,-74.0,41,1,0.9708,0.209834
DQN,small_grid,0,31,2645,-161.0,60,1,0.9701,0.247393
DQN,small_grid,0,32,2674,-70.0,29,1,0.9698,0.231534
