episode,return,length,success,epsilon,curriculum_radius
0,-436.5,200,0,0.9977,4
1,-410.0,200,0,0.9955,4
2,-338.5,167,1,0.9936,4
3,-433.0,200,0,0.9913,4
4,5.5,2,1,0.9913,4
5,-203.0,96,1,0.9902,4
6,-520.5,200,0,0.988,4
7,-483.0,200,0,0.9857,4
8,-473.0,200,0,0.9834,4
9,-496.0,200,0,0.9812,4
10,-542.5,200,0,0.9789,4
11,-421.5,200,0,0.9766,4
12,-588.0,200,0,0.9744,4
13,-168.5,101,1,0.9732,4
14,-497.0,200,0,0.971,4
15,-187.0,104,1,0.9698,4
16,-528.0,200,0,0.9675,4
17,-472.5,200,0,0.9653,4
18,-169.0,81,1,0.9644,4
19,-411.5,200,0,0.9621,4
20,5.0,3,1,0.9621,4
21,-464.0,200,0,0.9598,4
22,-393.0,200,0,0.9575,4
23,-281.5,146,1,0.9559,4
24,-421.5,200,0,0.9536,4
25,-467.0,200,0,0.9514,4
26,-27.5,20,1,0.9511,4
27,-2.5,7,1,0.9511,4
28,-394.0,200,0,0.9488,4
29,-18.5,10,1,0.9487,4
30,-270.0,130,1,0.9472,4
31,-428.0,189,1,0.9451,4
32,-103.0,68,1,0.9443,4
33,-448.0,200,0,0.9421,4
34,-452.0,200,0,0.9398,4
35,-314.5,175,1,0.9378,4
36,-144.5,69,1,0.937,4
37,3.5,4,1,0.937,4
38,-348.5,200,0,0.9347,4
39,-26.5,15,1,0.9346,4
40,3.0,5,1,0.9345,4
41,-506.0,200,0,0.9322,4
42,8.0,4,1,0.9322,4
43,-476.5,200,0,0.9299,4
44,-26.5,15,1,0.9298,4
45,-171.5,84,1,0.9288,4
46,-436.5,200,0,0.9265,4
47,-236.5,137,1,0.925,4
48,-424.0,200,0,0.9227,4
49,10.0,2,1,0.9227,4
50,-430.5,200,0,0.9204,4
51,-423.0,200,0,0.9182,4
52,-425.0,200,0,0.9159,4
53,-319.0,167,1,0.914,4
54,-478.5,200,0,0.9118,4
55,-208.5,109,1,0.9105,4
56,-0.5,5,1,0.9105,4
57,-46.5,27,1,0.9102,4
58,-452.5,200,0,0.9079,4
59,-109.5,54,1,0.9073,4
60,-439.0,200,0,0.905,4
61,-154.0,78,1,0.9042,4
62,-443.0,200,0,0.9019,4
63,-19.5,20,1,0.9017,4
64,-353.0,200,0,0.8994,4
65,-262.5,123,1,0.898,4
66,-489.0,200,0,0.8958,4
67,-319.0,172,1,0.8938,4
68,-385.0,200,0,0.8916,4
69,-392.0,200,0,0.8893,4
70,-425.0,200,0,0.887,4
71,10.5,1,1,0.887,4
72,-53.0,29,1,0.8867,4
73,-326.5,155,1,0.8849,4
74,-417.0,200,0,0.8827,4
75,5.0,3,1,0.8826,4
76,-352.0,200,0,0.8804,4
77,-411.5,200,0,0.8781,4
78,-20.0,16,1,0.8779,4
79,-433.0,200,0,0.8757,4
80,-416.0,200,0,0.8734,4
81,-172.5,89,1,0.8724,4
82,-464.0,200,0,0.8701,4
83,-397.0,197,1,0.8679,4
84,-384.0,200,0,0.8657,4
85,-9.0,14,1,0.8655,4
86,-372.5,200,0,0.8632,4
87,-183.5,112,1,0.862,4
88,-300.5,161,1,0.8601,4
89,-202.5,103,1,0.859,4
90,-358.5,200,0,0.8567,4
91,-226.5,119,1,0.8554,4
92,-79.5,48,1,0.8548,4
93,-471.5,200,0,0.8526,4
94,-23.0,12,1,0.8524,4
95,-13.0,13,1,0.8523,4
96,-355.5,200,0,0.85,4
97,-60.5,33,1,0.8497,4
98,-424.0,200,0,0.8474,4
99,-277.0,154,1,0.8456,4
100,-334.5,187,1,0.8435,4
101,-37.5,22,1,0.8433,4
102,-110.0,66,1,0.8425,4
103,-103.0,55,1,0.8419,4
104,-370.0,200,0,0.8397,4
105,-81.5,58,1,0.839,4
106,10.0,2,1,0.839,4
107,-7.0,12,1,0.8388,4
108,-254.0,130,1,0.8374,4
109,10.5,1,1,0.8374,4
110,-22.5,19,1,0.8371,4
111,-7.0,12,1,0.837,4
112,-104.5,61,1,0.8363,4
113,-1.0,9,1,0.8362,4
114,-11.5,12,1,0.8361,6
115,-200.5,90,1,0.8351,6
116,-45.0,26,1,0.8348,6
117,-52.0,32,1,0.8344,6
118,-482.0,200,0,0.8321,6
119,-64.5,37,1,0.8317,6
120,-425.0,200,0,0.8295,6
121,-50.0,35,1,0.8291,6
122,-412.5,200,0,0.8268,6
123,9.0,4,1,0.8268,6
124,-36.0,29,1,0.8264,6
125,10.0,2,1,0.8264,6
126,-440.5,200,0,0.8241,6
127,-28.0,21,1,0.8239,6
128,-23.5,21,1,0.8237,6
129,-152.0,86,1,0.8227,6
130,-178.0,107,1,0.8215,6
131,-196.5,113,1,0.8202,6
132,-218.0,144,1,0.8186,6
133,-173.5,91,1,0.8176,6
134,-46.5,27,1,0.8172,6
135,-473.0,200,0,0.815,6
136,-313.5,194,1,0.8128,6
137,-404.5,200,0,0.8105,6
138,10.0,2,1,0.8105,6
139,8.0,4,1,0.8105,6
140,-177.0,86,1,0.8095,6
141,-236.0,112,1,0.8082,6
142,-358.5,171,1,0.8063,6
143,-16.0,17,1,0.8061,6
144,-36.5,25,1,0.8058,8
145,-1.0,9,1,0.8057,8
146,-104.0,67,1,0.805,8
147,-446.5,200,0,0.8027,8
148,-266.0,128,1,0.8012,8
149,-361.0,200,0,0.799,8
150,-15.5,13,1,0.7988,8
151,0.0,4,1,0.7988,8
152,-15.5,11,1,0.7987,8
153,-142.0,76,1,0.7978,8
154,10.5,1,1,0.7978,8
155,-170.0,104,1,0.7966,8
156,-111.0,70,1,0.7958,8
157,-159.0,84,1,0.7949,8
158,-166.0,81,1,0.794,8
159,8.5,3,1,0.7939,8
160,-34.0,24,1,0.7937,8
161,-241.5,140,1,0.7921,8
162,-70.5,40,1,0.7916,8
163,-104.5,61,1,0.7909,8
164,-356.5,200,0,0.7887,8
165,-222.0,127,1,0.7872,8
166,-380.5,200,0,0.785,8
167,-87.5,45,1,0.7845,8
168,-78.0,52,1,0.7839,8
169,-32.0,27,1,0.7836,8
170,-63.5,50,1,0.783,8
171,-51.5,36,1,0.7826,8
172,-333.5,200,0,0.7803,8
173,-23.0,22,1,0.7801,8
174,-438.5,200,0,0.7778,10
175,-30.5,19,1,0.7776,10
176,-138.0,82,1,0.7767,10
177,-178.5,105,1,0.7755,10
178,-41.0,30,1,0.7752,10
179,-108.0,55,1,0.7745,10
180,0.0,4,1,0.7745,10
181,-546.0,200,0,0.7722,10
182,-177.0,115,1,0.7709,10
183,-357.5,200,0,0.7687,10
184,-51.0,37,1,0.7682,10
185,-90.0,59,1,0.7676,10
186,-2.5,12,1,0.7674,10
187,-188.0,92,1,0.7664,10
188,-10.5,15,1,0.7662,10
189,-449.0,200,0,0.764,10
190,-108.0,60,1,0.7633,10
191,-199.5,98,1,0.7622,10
192,-138.5,60,1,0.7615,10
193,-107.5,60,1,0.7608,10
194,-184.0,94,1,0.7598,10
195,-50.5,38,1,0.7593,10
196,-55.0,46,1,0.7588,10
197,-334.0,200,0,0.7566,10
198,-43.0,34,1,0.7562,10
199,-320.0,200,0,0.7539,10
200,-106.5,79,1,0.753,10
201,-164.5,102,1,0.7519,10
202,-1.5,10,1,0.7517,10
203,-325.5,200,0,0.7495,10
204,-359.5,200,0,0.7472,10
205,-136.0,73,1,0.7464,10
206,-32.5,28,1,0.7461,10
207,-306.0,200,0,0.7438,10
208,-9.0,9,1,0.7437,10
209,-2.0,11,1,0.7436,10
210,-332.5,200,0,0.7413,10
211,-100.0,71,1,0.7405,10
212,-394.0,200,0,0.7383,10
213,-32.0,27,1,0.738,10
214,-100.0,69,1,0.7372,10
215,-319.0,200,0,0.7349,10
216,-67.5,35,1,0.7345,10
217,-12.5,12,1,0.7344,10
218,-89.0,40,1,0.7339,10
219,-6.5,11,1,0.7338,10
220,-55.0,36,1,0.7334,10
221,-65.0,40,1,0.7329,10
222,7.5,5,1,0.7329,10
223,-40.5,26,1,0.7326,10
224,-165.0,92,1,0.7316,10
225,-337.0,200,0,0.7293,10
226,-3.5,14,1,0.7291,10
227,3.0,5,1,0.7291,10
228,-27.5,27,1,0.7288,10
229,-29.5,19,1,0.7286,10
230,-137.5,63,1,0.7278,10
231,-38.0,25,1,0.7276,10
232,7.0,6,1,0.7275,10
233,-80.0,43,1,0.727,12
234,-27.5,17,1,0.7268,12
235,-40.5,25,1,0.7265,12
236,-84.5,49,1,0.726,12
237,-475.5,200,0,0.7237,12
238,-330.5,200,0,0.7215,12
239,-324.0,200,0,0.7192,12
240,-159.0,86,1,0.7182,12
241,-37.0,36,1,0.7178,12
242,-287.5,200,0,0.7156,12
243,-53.5,35,1,0.7152,12
244,-51.5,38,1,0.7147,12
245,-105.0,67,1,0.714,12
246,-23.0,27,1,0.7137,12
247,-239.5,143,1,0.712,12
248,-441.0,200,0,0.7098,12
249,-399.5,200,0,0.7075,12
250,-32.5,29,1,0.7072,12
251,-112.5,60,1,0.7065,12
252,-155.5,91,1,0.7055,12
253,-6.0,7,1,0.7054,12
254,-6.0,10,1,0.7053,12
255,-65.5,42,1,0.7048,12
256,-20.0,24,1,0.7046,12
257,-117.0,60,1,0.7039,12
258,-373.5,200,0,0.7016,12
259,-525.5,200,0,0.6993,12
260,-8.0,9,1,0.6992,12
261,-36.5,24,1,0.699,12
262,-133.0,84,1,0.698,12
263,-45.5,30,1,0.6977,12
264,-49.5,38,1,0.6973,12
265,-71.5,39,1,0.6968,12
266,-132.5,64,1,0.6961,12
267,-51.0,39,1,0.6956,12
268,-102.0,73,1,0.6948,14
269,-573.5,200,0,0.6926,14
270,-588.0,200,0,0.6903,14
271,-2.0,6,1,0.6902,14
272,-391.0,200,0,0.688,14
273,-579.0,200,0,0.6857,14
274,-201.0,94,1,0.6846,14
275,-342.5,200,0,0.6824,14
276,-129.5,71,1,0.6816,14
277,-358.5,200,0,0.6793,14
278,-4.0,8,1,0.6792,14
279,3.0,10,1,0.6791,14
280,-370.0,200,0,0.6769,14
281,-49.5,41,1,0.6764,14
282,-340.0,164,1,0.6745,14
283,-66.5,46,1,0.674,14
284,-16.5,20,1,0.6738,14
285,-7.5,13,1,0.6736,14
286,-42.0,27,1,0.6733,14
287,-427.0,200,0,0.6711,14
288,-36.5,38,1,0.6706,14
289,-16.5,18,1,0.6704,14
290,-194.5,104,1,0.6693,14
291,-364.0,200,0,0.667,14
292,-389.0,195,1,0.6648,14
293,-38.0,26,1,0.6645,14
294,-183.5,100,1,0.6634,14
295,-63.0,44,1,0.6629,14
296,-365.5,200,0,0.6606,14
297,-196.0,110,1,0.6594,14
298,-423.0,200,0,0.6571,14
299,-68.5,40,1,0.6567,14
300,-84.0,55,1,0.656,14
