episode,return,length,success,epsilon,curriculum_radius
0,-68.5,36,1,0.9996,4
1,-552.5,200,0,0.9973,4
2,-28.0,16,1,0.9971,4
3,-26.0,19,1,0.9969,4
4,-538.0,187,1,0.9948,4
5,-19.0,11,1,0.9947,4
6,-601.5,200,0,0.9924,4
7,-476.0,189,1,0.9903,4
8,-220.5,89,1,0.9893,4
9,-478.0,200,0,0.987,4
10,-410.5,167,1,0.9851,4
11,-11.0,11,1,0.985,4
12,-202.5,87,1,0.984,4
13,-4.0,13,1,0.9839,4
14,-542.5,200,0,0.9816,4
15,-34.0,14,1,0.9815,4
16,-52.5,25,1,0.9812,4
17,-14.0,10,1,0.9811,4
18,4.5,4,1,0.981,4
19,-552.0,200,0,0.9788,4
20,-57.5,26,1,0.9785,4
21,-84.0,48,1,0.9779,4
22,5.0,8,1,0.9778,4
23,10.0,2,1,0.9778,4
24,-514.0,195,1,0.9756,4
25,-502.5,200,0,0.9733,4
26,-43.5,23,1,0.9731,4
27,-124.0,69,1,0.9723,4
28,-567.5,200,0,0.97,4
29,-124.0,45,1,0.9695,4
30,-262.5,107,1,0.9683,4
31,-235.5,135,1,0.9668,6
32,-15.5,13,1,0.9666,6
33,-154.5,68,1,0.9659,6
34,-618.5,200,0,0.9636,6
35,-420.5,153,1,0.9619,6
36,-451.5,200,0,0.9596,6
37,-171.0,69,1,0.9588,6
38,-572.0,200,1,0.9566,6
39,-90.5,36,1,0.9562,6
40,-514.0,200,0,0.9539,6
41,6.0,6,1,0.9538,6
42,-431.0,200,0,0.9516,6
43,4.0,5,1,0.9515,6
44,-41.0,17,1,0.9513,6
45,-184.0,76,1,0.9505,6
46,-324.5,142,1,0.9489,6
47,-268.5,118,1,0.9475,6
48,-4.0,8,1,0.9474,6
49,-29.5,19,1,0.9472,6
50,-580.0,200,0,0.945,6
51,-18.0,14,1,0.9448,6
52,-280.0,121,1,0.9434,6
53,10.5,1,1,0.9434,6
54,-3.0,13,1,0.9433,6
55,-137.5,55,1,0.9427,6
56,-531.5,200,0,0.9404,6
57,-75.0,37,1,0.94,6
58,-79.5,40,1,0.9395,6
59,-59.5,33,1,0.9392,6
60,-123.5,44,1,0.9387,6
61,-451.5,200,0,0.9364,6
62,-505.0,200,0,0.9341,6
63,-550.5,200,0,0.9319,6
64,-167.5,72,1,0.9311,6
65,-19.0,11,1,0.9309,6
66,-131.0,48,1,0.9304,6
67,-48.0,33,1,0.93,6
68,-26.0,14,1,0.9299,6
69,5.0,3,1,0.9298,6
70,-525.5,200,0,0.9276,6
71,-213.0,106,1,0.9264,6
72,-163.5,60,1,0.9257,8
73,-381.0,200,0,0.9234,8
74,-136.5,77,1,0.9226,8
75,-613.0,200,0,0.9203,8
76,-499.5,200,0,0.918,8
77,-533.5,200,0,0.9158,8
78,-214.0,87,1,0.9148,8
79,-497.0,200,0,0.9125,8
80,-276.0,125,1,0.9111,8
81,-52.0,24,1,0.9108,8
82,-1.0,6,1,0.9108,8
83,-102.0,49,1,0.9102,8
84,-189.5,83,1,0.9093,8
85,-554.0,200,0,0.907,8
86,-6.5,11,1,0.9069,8
87,-97.0,43,1,0.9064,8
88,-543.0,200,0,0.9041,8
89,4.0,5,1,0.9041,8
90,-396.0,200,0,0.9018,8
91,-25.0,17,1,0.9016,8
92,-228.5,100,1,0.9005,8
93,-525.0,200,0,0.8982,8
94,-467.5,200,0,0.896,8
95,-543.0,200,0,0.8937,8
96,-483.5,200,0,0.8915,8
97,-324.0,127,1,0.89,8
98,-536.0,200,0,0.8878,8
99,-125.5,67,1,0.887,8
100,-547.5,200,0,0.8847,8
101,-536.0,200,0,0.8825,8
102,-444.0,200,0,0.8802,8
103,5.0,8,1,0.8801,8
104,-132.5,67,1,0.8794,8
105,-97.5,44,1,0.8789,8
106,-39.5,27,1,0.8786,8
107,-13.5,14,1,0.8784,8
108,-158.5,64,1,0.8777,8
109,-166.0,60,1,0.877,8
110,-533.5,200,0,0.8747,8
111,-454.5,200,0,0.8725,8
112,-185.5,71,1,0.8717,8
113,-509.0,200,0,0.8694,8
114,-176.5,80,1,0.8685,8
115,-106.0,53,1,0.8679,8
116,-85.0,50,1,0.8673,8
117,-215.5,90,1,0.8663,8
118,-222.5,101,1,0.8652,8
119,-534.5,200,0,0.8629,8
120,-562.0,200,0,0.8607,8
121,-330.0,136,1,0.8591,8
122,-12.5,14,1,0.859,8
123,-485.5,200,0,0.8567,8
124,-157.0,90,1,0.8557,8
125,-55.0,39,1,0.8552,8
126,-257.5,95,1,0.8542,8
127,-123.5,68,1,0.8534,8
128,-252.0,88,1,0.8524,8
129,-63.0,36,1,0.852,8
130,-113.0,48,1,0.8514,8
131,-79.0,38,1,0.851,8
132,-510.5,200,0,0.8488,8
133,1.5,8,1,0.8487,8
134,-515.5,200,0,0.8464,8
135,-16.0,12,1,0.8463,8
136,-25.0,14,1,0.8461,8
137,-4.5,9,1,0.846,8
138,-548.5,200,0,0.8437,8
139,-515.5,198,1,0.8415,8
140,-84.0,42,1,0.841,8
141,-62.5,29,1,0.8407,8
142,-478.0,200,0,0.8384,8
143,-545.0,200,0,0.8362,8
144,-10.5,12,1,0.836,8
145,-80.0,54,1,0.8354,8
146,4.5,4,1,0.8354,8
147,-14.0,10,1,0.8353,8
148,-559.5,200,0,0.833,8
149,-467.0,200,0,0.8308,8
150,-44.5,27,1,0.8304,8
151,-367.0,200,0,0.8282,8
152,-14.0,10,1,0.8281,8
153,8.5,3,1,0.828,8
154,-81.0,38,1,0.8276,8
155,-76.5,30,1,0.8273,8
156,-264.0,115,1,0.826,8
157,-242.5,116,1,0.8247,8
158,-81.0,30,1,0.8243,8
159,-3.5,14,1,0.8242,8
160,-512.0,200,0,0.8219,8
161,8.5,3,1,0.8219,8
162,-105.0,43,1,0.8214,8
163,-50.5,28,1,0.8211,8
164,5.5,2,1,0.821,8
165,-1.0,14,1,0.8209,8
166,-18.5,17,1,0.8207,8
167,-388.0,200,0,0.8184,8
168,-91.0,42,1,0.818,8
169,-25.0,22,1,0.8177,8
170,-170.5,73,1,0.8169,8
171,-393.5,200,0,0.8146,8
172,4.0,5,1,0.8146,8
173,-17.5,15,1,0.8144,10
174,-488.5,189,1,0.8123,10
175,-307.0,130,1,0.8108,10
176,-420.0,200,0,0.8085,10
177,-61.5,32,1,0.8082,10
178,-44.0,29,1,0.8078,10
179,-399.0,200,0,0.8056,10
180,-320.0,176,1,0.8036,10
181,-545.5,200,0,0.8013,10
182,-410.0,165,1,0.7994,10
183,-180.0,76,1,0.7986,10
184,10.5,1,1,0.7986,10
185,-87.5,45,1,0.7981,10
186,-122.5,70,1,0.7973,10
187,-440.0,200,0,0.795,10
188,-35.0,27,1,0.7947,10
