episode,return,length,success,epsilon,curriculum_radius
0,-394.0,155,1,0.9982,4
1,-58.5,23,1,0.998,4
2,-481.0,200,0,0.9957,4
3,-15.0,12,1,0.9956,4
4,-531.5,200,0,0.9933,4
5,10.0,2,1,0.9933,4
6,-504.0,200,0,0.991,4
7,2.0,7,1,0.991,4
8,-11.0,11,1,0.9908,4
9,-130.0,59,1,0.9902,4
10,-196.0,85,1,0.9892,4
11,-8.0,9,1,0.9891,4
12,-214.0,87,1,0.9881,4
13,-418.5,167,1,0.9862,4
14,-14.0,10,1,0.9861,4
15,-8.5,8,1,0.986,4
16,-397.0,154,1,0.9843,4
17,-99.0,51,1,0.9837,4
18,-80.5,37,1,0.9833,4
19,-6.0,7,1,0.9832,4
20,-54.0,31,1,0.9829,4
21,-69.0,45,1,0.9824,4
22,-63.5,32,1,0.982,4
23,-87.0,39,1,0.9816,4
24,-71.5,32,1,0.9812,4
25,-9.5,13,1,0.981,4
26,-62.0,39,1,0.9806,4
27,-3.0,11,1,0.9805,4
28,-15.0,15,1,0.9803,4
29,-517.5,200,0,0.978,6
30,-176.0,76,1,0.9772,6
31,-288.5,125,1,0.9758,6
32,-68.5,30,1,0.9754,6
33,-36.0,16,1,0.9753,6
34,-252.5,110,1,0.974,6
35,-539.5,200,0,0.9717,6
36,-522.5,200,0,0.9695,6
37,10.0,2,1,0.9695,6
38,-33.0,33,1,0.9691,6
39,-66.0,27,1,0.9688,6
40,-166.5,64,1,0.9681,6
41,-391.0,177,1,0.9661,6
42,2.0,7,1,0.966,6
43,-292.5,100,1,0.9648,6
44,-488.0,200,0,0.9626,6
45,-217.0,89,1,0.9616,6
46,-6.0,10,1,0.9615,6
47,-346.5,148,1,0.9598,6
48,-95.0,41,1,0.9593,6
49,-261.5,123,1,0.9579,6
50,-141.5,70,1,0.9571,6
51,-91.5,52,1,0.9566,6
52,10.5,1,1,0.9565,6
53,-245.0,103,1,0.9554,6
54,-159.5,77,1,0.9545,6
55,-184.5,80,1,0.9536,6
56,-408.5,197,1,0.9514,6
57,1.5,6,1,0.9513,6
58,10.5,1,1,0.9513,6
59,-61.5,27,1,0.951,8
60,-66.0,38,1,0.9506,8
61,-245.0,111,1,0.9493,8
62,-6.5,6,1,0.9492,8
63,10.0,2,1,0.9492,8
64,-44.0,32,1,0.9489,8
65,-145.5,74,1,0.948,8
66,-3.0,11,1,0.9479,8
67,-9.5,10,1,0.9478,8
68,-81.0,46,1,0.9473,8
69,-56.0,36,1,0.9469,8
70,-72.5,37,1,0.9464,8
71,-344.0,126,1,0.945,8
72,-65.0,25,1,0.9447,8
73,-113.0,54,1,0.9441,8
74,-19.0,21,1,0.9439,8
75,-19.0,16,1,0.9437,8
76,-40.5,31,1,0.9434,8
77,10.0,2,1,0.9433,8
78,0.0,9,1,0.9432,8
79,-32.0,17,1,0.943,8
80,5.0,3,1,0.943,8
81,-278.5,115,1,0.9417,8
82,-42.5,31,1,0.9413,8
83,-118.0,49,1,0.9408,8
84,-120.0,49,1,0.9402,8
85,-71.0,39,1,0.9398,8
86,-268.0,109,1,0.9386,8
87,8.5,3,1,0.9385,8
88,-127.5,61,1,0.9378,8
89,-192.0,83,1,0.9369,8
90,-233.5,114,1,0.9356,8
91,-26.0,16,1,0.9354,8
92,-73.5,36,1,0.935,8
93,-124.0,50,1,0.9345,8
94,-456.0,200,0,0.9322,8
95,-55.0,36,1,0.9318,8
96,-111.0,52,1,0.9312,8
97,-0.5,8,1,0.9311,8
98,-29.0,18,1,0.9309,8
99,-1.0,6,1,0.9308,8
100,-17.5,10,1,0.9307,8
101,-158.5,93,1,0.9297,8
102,-152.5,69,1,0.9289,8
103,-33.5,18,1,0.9287,8
104,-67.5,46,1,0.9282,8
105,-6.0,10,1,0.9281,8
106,-231.5,88,1,0.9271,8
107,-176.0,81,1,0.9261,8
108,-88.0,49,1,0.9256,8
109,5.0,3,1,0.9256,8
110,-7.0,7,1,0.9255,8
111,-42.5,23,1,0.9252,8
112,-9.0,14,1,0.9251,8
113,-46.0,25,1,0.9248,8
114,-47.5,26,1,0.9245,8
115,-314.0,173,1,0.9225,8
116,-192.0,75,1,0.9217,8
117,-59.5,38,1,0.9213,8
118,-369.5,151,1,0.9195,8
119,-61.0,37,1,0.9191,8
120,-461.0,197,1,0.9169,8
121,10.5,1,1,0.9169,8
122,-78.0,44,1,0.9164,8
123,-220.5,94,1,0.9153,8
124,-220.0,95,1,0.9143,8
125,-160.5,77,1,0.9134,8
126,10.5,1,1,0.9134,8
127,-124.0,74,1,0.9125,8
128,-285.5,126,1,0.9111,8
129,-89.0,40,1,0.9107,8
130,-57.5,31,1,0.9103,8
131,4.5,7,1,0.9102,8
132,10.0,2,1,0.9102,8
133,-158.0,63,1,0.9095,8
134,-50.0,32,1,0.9091,8
135,-15.5,8,1,0.909,8
136,-73.0,32,1,0.9087,8
137,5.0,8,1,0.9086,8
138,-72.5,26,1,0.9083,8
139,-205.5,91,1,0.9073,8
140,-99.5,46,1,0.9067,8
141,-38.5,14,1,0.9066,8
142,0.0,9,1,0.9065,8
143,-14.0,10,1,0.9064,8
144,-245.0,98,1,0.9053,8
145,-52.5,27,1,0.905,8
146,-92.0,45,1,0.9044,8
147,-19.0,19,1,0.9042,8
148,-9.5,10,1,0.9041,8
149,6.0,6,1,0.9041,8
150,-51.5,30,1,0.9037,8
151,-28.5,14,1,0.9036,8
152,-18.0,16,1,0.9034,8
153,-9.5,12,1,0.9032,8
154,-13.0,13,1,0.9031,8
155,-74.0,32,1,0.9027,8
156,-63.5,37,1,0.9023,8
157,-100.0,61,1,0.9016,8
158,-249.0,97,1,0.9005,8
159,-9.5,12,1,0.9004,8
160,-119.5,48,1,0.8998,8
161,-277.5,128,1,0.8984,8
162,-19.5,23,1,0.8981,8
163,0.5,3,1,0.8981,8
164,-29.5,16,1,0.8979,8
165,2.5,6,1,0.8979,8
166,-127.5,74,1,0.897,8
167,-32.0,17,1,0.8968,8
168,-210.5,89,1,0.8958,8
169,-28.0,23,1,0.8956,8
170,-86.5,48,1,0.895,8
171,-25.0,22,1,0.8948,8
172,-383.0,200,0,0.8925,8
