episode,return,length,success,epsilon,curriculum_radius
0,-448.1552379479015,200,0,0.9977,4
1,-427.8177648037677,200,0,0.9955,4
2,-531.1831792965532,200,0,0.9932,4
3,-212.62304466515803,103,1,0.992,4
4,-126.8400897542636,56,1,0.9914,4
5,-379.64761248230974,200,0,0.9892,4
6,-62.411494284371514,37,1,0.9887,4
7,-51.02576397111012,30,1,0.9884,4
8,-519.4771331002319,200,0,0.9861,4
9,-461.0606299812601,200,0,0.9839,4
10,-413.05463992307637,200,0,0.9816,4
11,-451.0974489624307,200,0,0.9793,4
12,-452.62566119184106,200,0,0.9771,4
13,-517.7146062652275,200,0,0.9748,4
14,-344.56879741698543,140,1,0.9732,4
15,-202.1230446651581,103,1,0.9721,4
16,-413.9190731296941,200,0,0.9698,4
17,-409.2444539020461,200,0,0.9676,4
18,3.657134843369324,5,1,0.9675,4
19,-210.35637798458365,123,1,0.9661,4
20,-421.4869920189188,200,0,0.9638,4
21,-58.714325783153384,25,1,0.9636,4
22,-18.754303344587488,11,1,0.9634,4
23,-540.2146062652272,200,0,0.9612,4
24,-228.83165135433316,122,1,0.9598,4
25,-469.00632661581096,200,0,0.9575,4
26,-539.214606265227,200,0,0.9553,4
27,-305.2745165109638,133,1,0.9538,4
28,-161.26013463139552,84,1,0.9528,4
29,-481.7146062652276,200,0,0.9506,4
30,-89.99722459763292,51,1,0.95,4
31,-488.3038222193721,200,0,0.9477,4
32,-451.80921423186896,200,0,0.9455,4
33,-472.59744896243063,200,0,0.9432,4
34,-25.59716850121816,16,1,0.943,4
35,-9.048584250609082,8,1,0.9429,4
36,-260.274460414549,102,1,0.9418,4
37,-458.175553830962,200,0,0.9395,4
38,-498.8276237224545,200,0,0.9372,4
39,-178.4344267567001,82,1,0.9363,4
40,-307.5056163981561,139,1,0.9347,4
41,-58.682898814479515,25,1,0.9345,4
42,-271.9259322603548,132,1,0.933,4
43,-388.8539857392518,200,0,0.9307,4
44,-491.08889839053217,200,0,0.9284,4
45,-403.6660219728951,200,0,0.9262,4
46,-452.64951887478486,200,0,0.9239,4
47,-429.7146062652274,190,1,0.9218,4
48,-454.02321295440225,200,0,0.9195,4
49,-465.5232129544024,200,0,0.9172,4
50,-392.85011687874845,200,0,0.915,4
51,-471.6831792965537,200,0,0.9127,4
52,9.86285393734773,2,1,0.9127,4
53,-474.21460626522764,200,0,0.9104,4
54,-144.41726947476477,69,1,0.9097,4
55,-462.87746018171356,200,0,0.9074,4
56,-162.09156160006933,77,1,0.9065,4
57,-5.117157281935217,9,1,0.9064,4
58,9.86285393734773,2,1,0.9064,4
59,-424.46035901705477,200,0,0.9041,4
60,-389.11046644051925,200,0,0.9019,4
61,-417.22887591024283,200,0,0.8996,4
62,-446.21493332584737,200,0,0.8974,4
63,-8.048584250609082,8,1,0.8973,4
64,5.3628539373477295,2,1,0.8972,4
65,-457.868909609815,200,0,0.895,4
66,-490.05747142185817,200,0,0.8927,4
67,-409.9631905158367,200,0,0.8905,4
68,-469.2670032382017,200,0,0.8882,4
69,-381.9603590170546,200,0,0.8859,4
70,-445.8660781110331,200,0,0.8837,4
71,-428.18127290407875,200,0,0.8814,4
72,-513.9003365784888,200,0,0.8791,4
73,-427.8761518349252,200,0,0.8769,4
74,-446.3060556724672,200,0,0.8746,4
75,-385.82065237810264,200,0,0.8724,4
76,-454.30605567246744,200,0,0.8701,4
77,-470.1597048540915,200,0,0.8678,4
78,-438.16825542599037,200,0,0.8656,4
79,-94.0327913701535,59,1,0.8649,4
80,-411.40921421100717,200,0,0.8626,4
81,-420.1174938604241,200,0,0.8604,4
82,-419.61749386042413,200,0,0.8581,4
83,-416.1460893303159,200,0,0.8559,4
84,-403.7073078602554,200,0,0.8536,4
85,-286.3231007615728,141,1,0.852,4
86,-385.4289320483809,200,0,0.8497,4
87,-252.83105328778458,141,1,0.8481,4
88,-420.868909609815,200,0,0.8459,4
89,-447.3298571755494,200,0,0.8436,4
90,-430.368909609815,200,0,0.8414,4
91,-421.9723952089752,200,0,0.8391,4
92,-421.11749386042396,200,0,0.8368,4
93,-451.9946174845105,200,0,0.8346,4
94,-70.44292125304538,37,1,0.8342,4
95,-407.1803477977717,200,0,0.8319,4
96,-484.2117747664455,200,0,0.8296,4
97,-378.8761518349254,200,0,0.8274,4
98,-349.7583964864417,200,0,0.8251,4
99,-346.44886473268315,172,1,0.8232,4
100,-299.1526213586334,150,1,0.8215,4
101,-393.2403702363376,200,0,0.8192,4
102,-73.51721337834994,39,1,0.8188,4
103,-8.048584250609082,8,1,0.8187,4
104,-153.34869644343868,73,1,0.8178,4
105,-385.50632661581096,200,0,0.8156,4
106,-243.0772919133308,90,1,0.8146,4
107,-258.5344828531149,119,1,0.8132,4
108,-348.9273527165257,200,0,0.811,4
109,-414.1434726993249,193,1,0.8088,4
110,-157.64303344587503,96,1,0.8077,4
111,-272.2243529493614,151,1,0.806,4
112,-355.49586965143715,200,0,0.8037,4
113,-32.371460626522705,20,1,0.8035,4
114,9.294280906021594,3,1,0.8035,4
115,-226.54880863626832,127,1,0.802,4
116,-96.33437066028522,50,1,0.8015,4
117,-404.74037023633775,200,0,0.7992,4
118,-401.46035901705454,200,0,0.7969,4
119,-319.1289320066577,200,0,0.7947,4
120,-152.8115503807864,72,1,0.7939,4
121,-370.10349509616725,200,0,0.7916,4
122,-80.69439309885104,58,1,0.7909,4
123,-40.92004487713176,28,1,0.7906,4
124,-284.19450529168085,125,1,0.7892,4
125,-379.5832353929682,200,0,0.787,4
126,-360.8282778436941,200,0,0.7847,4
127,-73.58006731569769,39,1,0.7842,4
128,-1.8428651566306762,5,1,0.7842,4
129,-64.1257639711102,31,1,0.7838,4
130,-237.47451651096375,130,1,0.7824,4
131,-338.22353997329924,200,0,0.7801,4
132,-341.92735271652583,200,0,0.7778,4
133,-70.71149428437154,40,1,0.7774,4
134,-320.3374826411411,185,1,0.7753,4
135,-342.2209794595845,200,0,0.773,4
136,-59.385786409676086,38,1,0.7726,4
137,-74.6029436916113,48,1,0.7721,4
138,-10.722876375913621,11,1,0.7719,4
139,-58.96291003376244,30,1,0.7716,4
140,-23.802887595196562,19,1,0.7714,4
141,-70.51721337834996,44,1,0.7709,4
142,-176.49096353352095,110,1,0.7696,4
143,-366.07686209430375,200,0,0.7674,4
144,-402.276478916407,200,0,0.7651,4
145,-8.502887595196569,16,1,0.7649,4
146,-5.117157281935215,9,1,0.7648,4
147,10.431426968673865,1,1,0.7648,4
148,-6.685730313261352,10,1,0.7647,4
149,-5.342865156630676,5,1,0.7647,4
150,-110.63153916150335,63,1,0.7639,4
151,-64.9200448771318,28,1,0.7636,4
152,-290.13688453286926,200,0,0.7614,4
153,-23.802887595196562,19,1,0.7612,4
154,-61.8965704346696,43,1,0.7607,4
155,-61.61721337834993,40,1,0.7602,4
156,-30.65719093978404,26,1,0.7599,6
157,-9.360022438565892,13,1,0.7598,6
158,3.225707874695459,4,1,0.7597,6
159,-17.508606689174975,22,1,0.7595,6
160,-44.40702739904323,28,1,0.7592,6
161,-327.3158584112928,200,0,0.7569,6
162,-313.7447809626666,200,0,0.7546,6
163,-300.0476685787247,200,0,0.7524,6
164,-31.802887595196562,19,1,0.7522,6
165,-393.7104664196577,200,0,0.7499,6
166,-128.28012341211252,77,1,0.749,6
167,-43.28289881447948,26,1,0.7487,6
168,-146.2287076627216,79,1,0.7478,6
169,-105.50011219282949,62,1,0.7471,6
170,-13.891449407239758,13,1,0.747,6
171,-117.80708349545807,63,1,0.7463,6
172,-158.18012341211252,71,1,0.7455,6
173,-0.048584250609080115,8,1,0.7454,6
174,-8.254303344587488,11,1,0.7453,6
175,-26.50860668917497,22,1,0.745,6
176,-216.39733676960103,126,1,0.7436,6
177,-187.0290907988949,132,1,0.7421,6
178,-44.08006731569763,39,1,0.7417,6
179,-285.3853566115109,174,1,0.7397,6
180,-23.3714606265227,20,1,0.7395,6
181,7.157134843369325,5,1,0.7394,6
182,-7.191449407239759,11,1,0.7393,6
183,-63.072768931587504,45,1,0.7388,6
184,-91.32865156630682,49,1,0.7382,6
185,-353.16319047411304,200,0,0.736,6
186,-317.7031680146857,200,0,0.7337,8
187,-230.780833650629,129,1,0.7322,8
188,-253.0586675132319,150,1,0.7305,8
189,-344.9257173091179,200,0,0.7283,8
190,5.3628539373477295,2,1,0.7283,8
191,-351.8777872423335,200,0,0.726,8
192,-396.1736474384868,200,0,0.7237,8
193,-371.41427916288416,200,0,0.7215,8
194,-378.2126998727525,200,0,0.7192,8
195,-84.17723581691584,55,1,0.7186,8
196,-0.017157281935215707,8,1,0.7185,8
197,9.294280906021594,3,1,0.7185,8
198,-369.7625363320118,200,0,0.7162,8
199,-307.7072517847025,160,1,0.7144,8
200,-68.05719093978406,30,1,0.7141,8
201,-157.5972806940477,83,1,0.7131,8
202,-271.40561639815604,133,1,0.7116,8
203,-473.06286343435505,200,0,0.7093,8
204,-211.01857777982977,103,1,0.7082,8
205,-47.062910033762435,31,1,0.7078,8
206,-428.4739745408301,200,0,0.7056,8
207,-187.178600197534,118,1,0.7042,8
208,-47.66830204625924,32,1,0.7039,8
209,-173.6601346313955,83,1,0.7029,8
210,-170.10937302410622,106,1,0.7017,8
211,-299.4056724737093,178,1,0.6997,8
212,-8.897168501218161,14,1,0.6996,8
213,10.431426968673865,1,1,0.6996,8
214,-360.59685091674385,200,0,0.6973,8
215,-37.214325783153356,25,1,0.697,8
216,-6.685730313261352,10,1,0.6969,8
217,-5.791449407239757,12,1,0.6968,8
218,-82.6308849985401,61,1,0.6961,8
219,-324.0272405654196,156,1,0.6943,8
220,1.7456966554125142,11,1,0.6942,8
221,-297.92506318787775,185,1,0.6921,8
222,-457.1517523278798,200,0,0.6898,8
223,-22.59716850121816,16,1,0.6896,10
224,-15.597168501218164,16,1,0.6895,10
225,-59.141341962913614,46,1,0.6889,10
226,-6.254303344587488,11,1,0.6888,10
227,7.157134843369325,5,1,0.6888,10
228,-47.031483065088565,31,1,0.6884,10
229,-180.98873010128762,96,1,0.6873,10
230,-109.69439309885115,63,1,0.6866,10
231,-73.81149428437155,41,1,0.6861,10
232,-21.234314563870434,18,1,0.6859,10
233,-433.89271111289713,200,0,0.6837,10
234,-87.75152794222039,62,1,0.683,10
235,-33.37146062652269,20,1,0.6828,10
236,-448.06602199375686,200,0,0.6805,10
237,-414.02604445318434,200,0,0.6782,10
238,-1.8428651566306762,5,1,0.6782,10
239,-407.9088871503873,200,0,0.6759,10
240,-373.75937777260975,200,0,0.6737,10
241,-381.8059995760525,174,1,0.6717,10
242,-391.8850856473054,200,0,0.6694,10
243,-47.494337002436296,30,1,0.6691,10
244,-432.21460626522764,200,0,0.6668,10
245,-436.7146062652276,200,0,0.6646,10
246,8.294280906021594,3,1,0.6645,10
247,-328.37239522983674,200,0,0.6623,10
248,-333.66858248661015,200,0,0.66,10
249,-369.6130269542339,200,0,0.6577,10
250,1.0885618120431886,6,1,0.6577,10
251,-183.96242413918208,130,1,0.6562,10
252,-342.3723952298369,200,0,0.6539,10
253,-49.037202159066965,37,1,0.6535,10
254,-24.018138505518426,30,1,0.6532,10
255,-36.537202159066965,37,1,0.6528,10
256,-96.65435944100223,46,1,0.6522,10
257,-294.594234306614,159,1,0.6504,10
258,-22.802887595196562,19,1,0.6502,10
259,-36.64575275182723,24,1,0.65,10
260,-410.16253635287336,200,0,0.6477,10
261,-0.6171572819352171,9,1,0.6476,10
262,-45.61721337834989,40,1,0.6471,10
263,-50.95435944100214,44,1,0.6466,10
264,-351.6812729040787,200,0,0.6444,10
265,-53.26862912774082,34,1,0.644,10
266,-33.500056096414696,31,1,0.6436,10
267,-18.497168501218162,15,1,0.6435,10
268,-221.3078498303893,136,1,0.6419,10
269,-421.7146062652276,200,0,0.6397,10
270,-124.9943930988511,66,1,0.6389,10
271,-1.6171572819352171,9,1,0.6388,10
272,-437.70158878713903,200,0,0.6366,10
273,-135.88584250609094,79,1,0.6357,10
274,-528.5866649374367,200,0,0.6334,10
275,-17.134314563870433,17,1,0.6332,10
276,-8.528595469892029,15,1,0.6331,10
277,-65.43720215906698,36,1,0.6326,10
278,-286.2387348289296,200,0,0.6304,10
279,-130.17565652678417,62,1,0.6297,10
280,10.431426968673865,1,1,0.6297,10
281,-5.254303344587488,11,1,0.6295,10
