episode,return,length,success,epsilon,curriculum_radius
0,-64.98076114207507,39,1,0.9996,4
1,-523.2859545747443,200,0,0.9973,4
2,-0.3057190914948791,4,1,0.9973,4
3,-560.2859545747431,200,0,0.995,4
4,-608.2859545747427,200,0,0.9927,4
5,-659.285954574742,200,0,0.9905,4
6,-10.264297728737198,10,1,0.9904,4
7,-74.52218250483277,33,1,0.99,4
8,-620.7859545747426,200,0,0.9877,4
9,-31.146446593105804,15,1,0.9875,4
10,-251.14297728737216,100,1,0.9864,4
11,-552.7859545747438,200,0,0.9842,4
12,5.541421362757682,6,1,0.9841,4
13,10.42357022712628,1,1,0.9841,4
14,-98.36291000644371,44,1,0.9836,4
15,-24.146446593105797,15,1,0.9834,4
16,10.42357022712628,1,1,0.9834,4
17,-47.21646341333785,29,1,0.9831,4
18,-4.611438182989758,8,1,0.983,4
19,-54.82790159632759,37,1,0.9826,4
20,-602.2859545747428,200,0,0.9803,4
21,-7.146446593105793,15,1,0.9801,4
22,-556.7859545747439,200,0,0.9779,4
23,-560.2859545747435,200,0,0.9756,4
24,-641.2859545747426,200,0,0.9733,4
25,-40.563603867590416,27,1,0.973,4
26,-9.687867955863478,9,1,0.9729,4
27,-610.7859545747425,200,0,0.9707,4
28,-97.82148864368605,50,1,0.9701,4
29,-19.070016820232077,14,1,0.97,4
30,-10.070016820232077,14,1,0.9698,4
31,-35.68145500322183,22,1,0.9695,4
32,-520.7566652546329,200,0,0.9673,4
33,-14.570016820232077,14,1,0.9671,4
34,-219.87867955863496,90,1,0.9661,4
35,7.694280908505122,4,1,0.9661,4
36,4.194280908505121,4,1,0.966,4
37,-532.1004555473727,200,0,0.9638,4
38,-50.33431454896926,24,1,0.9635,4
39,-357.01230024645764,131,1,0.962,4
40,-655.7859545747423,200,0,0.9597,4
41,-146.65580319265538,74,1,0.9589,4
42,-212.49011774162477,98,1,0.9578,4
43,-562.1883235077062,200,0,0.9555,4
44,-422.61732547680583,152,1,0.9538,4
45,-494.7859545747445,200,0,0.9516,4
46,2.617851135631402,5,1,0.9515,4
47,-44.86932295908528,31,1,0.9511,4
48,-457.2078497211144,200,0,0.9489,4
49,-231.51871319909918,118,1,0.9475,4
50,-83.36291000644371,44,1,0.947,4
51,9.84714045425256,2,1,0.947,4
52,10.42357022712628,1,1,0.947,4
53,-563.2859545747435,200,0,0.9448,4
54,-533.785954574744,200,0,0.9425,4
55,-204.6493902400138,87,1,0.9415,4
56,-216.86585365335176,116,1,0.9402,4
57,-4.417157274484637,12,1,0.9401,4
58,-77.8979184165597,51,1,0.9395,4
59,-46.410744321842955,25,1,0.9392,4
