episode,return,length,success,epsilon,curriculum_radius
0,-58.49473684210526,40,1,0.9997,4
1,-428.4147368421053,168,1,0.9982,4
2,-296.79605263157896,125,1,0.9972,4
3,-464.05263157894734,200,0,0.9955,4
4,-370.91736842105263,198,1,0.9938,4
5,-272.8297368421053,129,1,0.9927,4
6,-452.02631578947364,200,0,0.991,4
7,-432.1052631578948,200,0,0.9893,4
8,-347.4260526315789,167,1,0.9879,4
9,-153.0647368421053,78,1,0.9872,4
10,-468.07894736842104,200,0,0.9855,4
11,-198.19973684210532,87,1,0.9848,4
12,-476.0789473684209,200,0,0.9831,4
13,-448.00000000000006,200,0,0.9814,4
14,-400.00000000000006,200,0,0.9797,4
15,-186.07236842105266,75,1,0.9791,4
16,-424.10526315789485,200,0,0.9774,4
17,-282.8597368421052,131,1,0.9763,4
18,-500.23684210526324,200,0,0.9746,4
19,-276.88973684210526,133,1,0.9734,4
20,-464.0,200,0,0.9717,4
21,-124.88473684210527,66,1,0.9712,4
22,-384.05263157894734,200,0,0.9695,4
23,-404.02631578947364,200,0,0.9678,4
24,2.981315789473685,3,1,0.9678,4
25,-436.0789473684211,200,0,0.9661,4
26,-495.99999999999994,200,0,0.9644,4
27,-396.07894736842104,200,0,0.9627,4
28,-56.43105263157894,34,1,0.9624,4
29,-74.66736842105263,48,1,0.962,4
30,-444.0263157894736,200,0,0.9603,4
31,-440.0,200,0,0.9586,4
32,-56.22473684210526,22,1,0.9584,4
33,-400.10526315789474,200,0,0.9567,4
34,-352.05263157894746,200,0,0.955,4
35,-388.0789473684211,200,0,0.9533,4
36,-447.87973684210516,199,1,0.9516,4
37,7.007631578947369,3,1,0.9516,4
38,-424.2105263157895,200,0,0.9499,4
39,13.011315789473684,1,1,0.9499,4
40,-13.138684210526314,11,1,0.9498,4
41,-356.07894736842104,200,0,0.9481,4
42,-439.94736842105266,200,0,0.9464,4
43,-436.07894736842104,200,0,0.9447,4
44,-419.9736842105262,200,0,0.943,4
45,-479.99999999999983,200,0,0.9413,4
46,-500.0263157894737,200,0,0.9396,4
47,-472.05263157894734,200,0,0.9379,4
48,-364.07894736842087,200,0,0.9362,4
49,2.9476315789473695,7,1,0.9362,4
50,-428.0789473684211,200,0,0.9345,4
51,13.011315789473684,1,1,0.9345,4
52,-480.157894736842,200,0,0.9328,4
53,-111.74973684210526,57,1,0.9323,4
54,-285.33605263157887,161,1,0.9309,4
55,-460.0263157894737,200,0,0.9292,4
56,-480.31578947368433,200,0,0.9275,4
57,-416.10526315789474,200,0,0.9258,4
58,-361.78973684210524,193,1,0.9242,4
59,-468.1315789473685,200,0,0.9225,4
60,-86.55473684210526,44,1,0.9221,4
61,-492.1842105263158,200,0,0.9204,4
62,-396.0789473684211,200,0,0.9187,4
63,13.011315789473684,1,1,0.9187,4
64,3.9889473684210532,6,1,0.9187,4
65,-392.3157894736843,200,0,0.917,4
66,-436.0263157894737,200,0,0.9153,4
67,4.97763157894737,5,1,0.9152,4
68,-439.94736842105254,200,0,0.9135,4
69,-375.6397368421052,183,1,0.912,4
70,-428.2368421052632,200,0,0.9103,4
71,-356.0789473684211,200,0,0.9086,4
72,13.011315789473684,1,1,0.9086,4
73,-492.0263157894737,200,0,0.9069,4
74,-428.0789473684211,200,0,0.9052,4
75,-464.1578947368421,200,0,0.9035,4
76,-101.59973684210526,47,1,0.9031,4
77,-396.1315789473684,200,0,0.9014,4
78,-460.078947368421,200,0,0.8997,4
79,-488.2105263157895,200,0,0.898,4
80,-392.10526315789474,200,0,0.8963,4
81,-364.1315789473684,200,0,0.8946,4
82,-419.97368421052624,200,0,0.8929,4
83,7.007631578947369,3,1,0.8929,4
84,-472.0526315789474,200,0,0.8912,4
85,-396.07894736842104,200,0,0.8895,4
86,-452.0263157894737,200,0,0.8878,4
87,-384.1052631578947,200,0,0.8861,4
88,-335.45236842105254,167,1,0.8847,4
89,-356.18421052631584,200,0,0.883,4
90,-392.1578947368421,200,0,0.8813,4
91,-416.1052631578947,200,0,0.8796,4
92,-364.13157894736855,200,0,0.8779,4
93,-368.1578947368421,200,0,0.8762,4
94,-119.00105263157894,72,1,0.8756,4
95,-468.0263157894737,200,0,0.8739,4
96,-372.0789473684209,200,0,0.8722,4
97,-389.72973684210507,189,1,0.8706,4
98,-396.07894736842104,200,0,0.8689,4
99,-210.37973684210536,99,1,0.8681,4
100,-432.157894736842,200,0,0.8664,4
101,-107.77605263157895,57,1,0.8659,4
102,12.022631578947369,2,1,0.8659,4
103,-396.078947368421,200,0,0.8642,4
104,-57.62605263157894,47,1,0.8638,4
105,-170.22605263157897,87,1,0.863,4
