episode,return,length,success,epsilon,curriculum_radius
0,-66.51222222222222,36,1,0.9997,4
1,-508.0277777777778,200,0,0.998,4
2,-26.184444444444445,16,1,0.9979,4
3,-25.173888888888886,19,1,0.9977,4
4,-539.6938888888885,187,1,0.9961,4
5,-17.109444444444442,11,1,0.996,4
6,-596.3055555555557,200,0,0.9943,4
7,-584.0555555555552,200,0,0.9926,4
8,-181.0866666666667,78,1,0.992,4
9,-572.1388888888889,200,0,0.9903,4
10,-2.096666666666664,12,1,0.9902,4
11,-67.61944444444447,45,1,0.9898,4
12,-60.36666666666666,30,1,0.9895,4
13,-528.0,200,0,0.9878,4
14,-520.2777777777776,200,0,0.9861,4
15,7.010555555555556,3,1,0.9861,4
16,-536.2222222222222,200,0,0.9844,4
17,-536.1111111111109,200,0,0.9827,4
18,-600.2222222222222,200,0,0.981,4
19,-125.7138888888889,55,1,0.9806,4
20,-512.2222222222222,200,0,0.9789,4
21,-23.199444444444442,17,1,0.9787,4
22,-512.0,200,0,0.977,4
23,-26.304444444444442,24,1,0.9768,4
24,0.9761111111111145,9,1,0.9767,4
25,-153.6538888888889,51,1,0.9763,4
26,7.997777777777777,2,1,0.9763,4
27,-22.188888888888886,20,1,0.9761,4
28,-4.006666666666664,6,1,0.9761,4
29,-568.0555555555557,200,0,0.9744,4
30,-568.1666666666665,200,0,0.9727,4
31,13.012777777777778,1,1,0.9727,4
32,-492.02777777777777,200,0,0.971,4
33,-54.39666666666666,32,1,0.9707,4
34,-5.049444444444443,7,1,0.9706,4
35,-58.42444444444445,32,1,0.9704,4
36,-492.13888888888886,200,0,0.9687,4
37,-351.3294444444445,159,1,0.9673,4
38,-150.24944444444446,87,1,0.9666,4
39,-400.1966666666667,152,1,0.9653,4
40,-544.0555555555554,200,0,0.9636,4
41,-6.124444444444439,12,1,0.9635,4
42,-4.038888888888886,10,1,0.9634,4
43,-528.0555555555557,200,0,0.9617,4
44,5.967777777777778,4,1,0.9617,4
45,3.9377777777777787,6,1,0.9616,4
46,-21.081666666666663,11,1,0.9615,4
47,-504.33333333333326,200,0,0.9598,4
48,-528.0555555555554,200,0,0.9581,4
49,-9.053888888888885,11,1,0.9581,4
50,-539.9016666666666,199,1,0.9564,4
51,12.025555555555556,2,1,0.9564,4
52,-454.3188888888889,162,1,0.955,4
53,-4.094444444444443,10,1,0.9549,4
54,-79.59166666666667,45,1,0.9545,4
55,-536.1111111111112,200,0,0.9528,4
56,-576.0555555555554,200,0,0.9511,4
57,-571.972222222222,200,0,0.9494,4
58,-102.5488888888889,44,1,0.949,4
59,-460.0833333333333,200,0,0.9474,4
60,-568.166666666667,200,0,0.9457,4
61,-544.0555555555555,200,0,0.944,4
62,-476.0833333333333,200,0,0.9423,4
63,-78.39666666666668,32,1,0.942,4
64,-552.1666666666665,200,0,0.9403,4
65,-2.152222222222221,12,1,0.9402,4
66,13.012777777777778,1,1,0.9402,4
67,-34.30444444444444,24,1,0.94,4
68,-564.3055555555555,200,0,0.9383,4
69,-92.78222222222223,54,1,0.9378,4
70,-37.409444444444446,31,1,0.9376,4
71,-18.216666666666665,20,1,0.9374,4
72,-528.2777777777776,200,0,0.9357,4
73,-520.0555555555554,200,0,0.934,4
74,-79.67944444444444,49,1,0.9336,4
75,4.980555555555557,5,1,0.9335,4
76,-43.291666666666664,25,1,0.9333,4
77,-596.4166666666666,200,0,0.9316,4
78,7.010555555555556,3,1,0.9316,4
79,-620.1388888888889,200,0,0.9299,4
