episode,return,length,success,epsilon,curriculum_radius
0,-59.0,40,1,0.9995,4
1,-427.0,168,1,0.9976,4
2,-296.5,125,1,0.9962,4
3,-449.0,200,0,0.994,4
4,-404.5,200,0,0.9917,4
5,-404.5,200,0,0.9894,4
6,-86.0,55,1,0.9888,4
7,-422.5,200,0,0.9866,4
8,-183.5,72,1,0.9858,4
9,-390.0,167,1,0.9839,4
10,-467.5,200,0,0.9816,4
11,-53.0,34,1,0.9812,4
12,-143.5,64,1,0.9805,4
13,0.0,4,1,0.9804,4
14,-313.0,150,1,0.9787,4
15,-498.0,200,0,0.9765,4
16,-435.5,200,0,0.9742,4
17,-510.5,200,0,0.972,4
18,-433.0,200,0,0.9697,4
19,-501.5,200,0,0.9674,4
20,-374.5,200,0,0.9652,4
21,-63.0,36,1,0.9648,4
22,4.5,4,1,0.9647,4
23,-402.0,200,0,0.9625,4
24,8.5,3,1,0.9624,4
25,-356.5,185,1,0.9603,4
26,-546.0,200,0,0.9581,4
27,-418.0,200,0,0.9558,4
28,-86.5,43,1,0.9553,4
29,-136.0,60,1,0.9546,4
30,-492.5,200,0,0.9524,4
31,-28.5,17,1,0.9522,4
32,-93.0,42,1,0.9517,4
33,-360.5,173,1,0.9498,4
34,-139.0,80,1,0.9489,4
35,-488.0,200,0,0.9466,4
36,-59.0,32,1,0.9462,4
37,-6.0,10,1,0.9461,4
38,-541.0,200,0,0.9439,4
39,10.5,1,1,0.9438,4
40,10.5,1,1,0.9438,4
41,-436.5,200,0,0.9416,4
42,-44.0,29,1,0.9412,4
43,-77.5,38,1,0.9408,4
44,-181.0,98,1,0.9397,4
45,-387.5,188,1,0.9376,4
46,-418.0,200,0,0.9353,4
47,-211.0,112,1,0.9341,4
48,-386.0,200,0,0.9318,4
49,-28.0,16,1,0.9316,4
50,-28.5,25,1,0.9313,4
51,6.5,5,1,0.9313,4
52,-454.5,200,0,0.929,4
53,-164.0,77,1,0.9281,4
54,-42.5,23,1,0.9279,4
55,-534.5,200,0,0.9256,4
56,-441.0,200,0,0.9234,4
57,-449.0,200,0,0.9211,4
58,-153.0,78,1,0.9202,4
59,-105.0,54,1,0.9196,4
60,-434.5,200,0,0.9173,4
61,-10.5,15,1,0.9172,4
62,-6.5,11,1,0.917,4
63,-9.5,13,1,0.9169,4
64,-248.5,141,1,0.9153,4
65,-379.5,200,0,0.913,4
66,10.0,2,1,0.913,4
67,-30.0,18,1,0.9128,4
68,-90.0,43,1,0.9123,4
69,-432.0,200,0,0.9101,4
70,-410.0,200,0,0.9078,4
71,-183.0,95,1,0.9067,4
72,3.5,4,1,0.9067,4
73,-433.0,200,0,0.9044,4
74,-163.0,75,1,0.9036,4
75,-73.5,42,1,0.9031,4
76,-12.0,13,1,0.903,4
77,-463.0,200,0,0.9007,4
78,-346.0,200,0,0.8984,4
79,-435.5,200,0,0.8962,4
80,-43.5,20,1,0.8959,4
81,-11.0,11,1,0.8958,4
82,-371.0,176,1,0.8938,4
83,-2.0,6,1,0.8938,4
84,-379.5,200,0,0.8915,4
85,10.0,2,1,0.8915,4
86,-404.5,200,0,0.8892,4
87,-245.5,118,1,0.8879,4
88,-33.0,25,1,0.8876,4
89,-18.5,10,1,0.8875,4
90,-227.0,107,1,0.8863,4
91,-166.5,75,1,0.8854,4
