episode,return,length,success,epsilon,curriculum_radius
0,-82.0,51,1,0.9994,4
1,-565.5,200,0,0.9972,4
2,4.5,4,1,0.9971,4
3,-603.0,200,0,0.9949,4
4,5.0,3,1,0.9948,4
5,-99.0,56,1,0.9942,4
6,-576.5,200,0,0.9919,4
7,-4.5,9,1,0.9918,4
8,-262.0,103,1,0.9907,4
9,-20.5,12,1,0.9905,4
10,-9.0,14,1,0.9904,4
11,10.0,2,1,0.9903,4
12,-30.0,23,1,0.9901,4
13,-59.0,27,1,0.9898,4
14,-280.5,133,1,0.9883,4
15,-604.0,200,0,0.986,4
16,-14.0,10,1,0.9859,4
17,-628.0,200,0,0.9836,4
18,-61.0,29,1,0.9833,4
19,-475.0,200,0,0.981,4
20,-543.0,200,0,0.9788,4
21,-18.0,14,1,0.9786,4
22,-476.5,177,1,0.9766,4
23,-478.0,170,1,0.9747,4
24,10.0,2,1,0.9747,4
25,10.5,1,1,0.9747,4
26,-544.5,200,0,0.9724,4
27,-117.5,62,1,0.9717,4
28,-26.0,27,1,0.9714,4
29,0.0,4,1,0.9714,4
30,-18.5,15,1,0.9712,4
31,-15.5,11,1,0.9711,4
32,-238.0,111,1,0.9698,4
33,-333.0,130,1,0.9683,6
34,-539.0,200,0,0.9661,6
35,9.5,3,1,0.966,6
36,-596.0,200,0,0.9638,6
37,-100.0,48,1,0.9632,6
38,-559.0,200,0,0.961,6
39,-452.0,200,0,0.9587,6
40,-627.0,200,0,0.9564,6
41,-198.5,107,1,0.9552,6
42,-562.0,200,0,0.953,6
43,-560.0,200,0,0.9507,6
44,-0.5,5,1,0.9507,6
45,-36.0,29,1,0.9503,6
46,-357.5,163,1,0.9485,6
47,-65.0,38,1,0.9481,6
48,-51.5,25,1,0.9478,6
49,-566.5,200,0,0.9455,6
50,-49.0,38,1,0.9451,6
51,-118.0,68,1,0.9443,6
52,-487.0,200,0,0.9421,6
53,-38.0,31,1,0.9417,6
54,-504.5,200,0,0.9394,6
55,-501.5,200,0,0.9372,6
56,-90.5,47,1,0.9366,6
57,-536.0,200,0,0.9344,6
58,-514.0,200,0,0.9321,6
59,-19.5,17,1,0.9319,6
60,-564.5,200,0,0.9297,6
61,-162.0,64,1,0.9289,6
62,-25.0,14,1,0.9288,6
63,-13.0,18,1,0.9286,6
64,10.5,1,1,0.9286,6
65,-519.5,200,0,0.9263,6
66,-168.0,60,1,0.9256,6
67,-266.5,124,1,0.9242,6
68,-553.0,200,0,0.922,6
69,10.5,1,1,0.922,6
70,-189.0,74,1,0.9211,6
71,-74.5,39,1,0.9207,6
72,-563.0,200,0,0.9184,6
73,-45.0,29,1,0.9181,6
74,-39.0,28,1,0.9178,6
75,-529.0,200,0,0.9155,6
76,-179.0,72,1,0.9147,6
77,-54.5,40,1,0.9142,6
78,-315.0,133,1,0.9127,6
79,-148.5,65,1,0.912,6
80,-495.5,200,0,0.9097,6
81,-22.0,23,1,0.9095,6
82,-56.0,25,1,0.9092,6
83,-5.0,13,1,0.909,6
84,-493.0,191,1,0.9069,6
85,-11.5,12,1,0.9068,6
86,-13.0,10,1,0.9066,6
87,-70.0,34,1,0.9063,6
88,-595.0,200,0,0.904,6
89,-332.5,153,1,0.9023,6
90,-54.0,34,1,0.9019,8
91,-197.0,79,1,0.901,8
92,-15.0,12,1,0.9008,8
93,-529.0,200,0,0.8986,8
94,-508.5,200,0,0.8963,8
95,-176.5,82,1,0.8954,8
96,-253.0,111,1,0.8941,8
97,-494.5,200,0,0.8919,8
98,-32.0,12,1,0.8917,8
99,-388.5,155,1,0.89,8
100,-526.5,200,0,0.8877,8
