episode,return,length,success,epsilon,curriculum_radius
0,-75.0,40,1,0.9995,4
1,-492.5,200,0,0.9973,4
2,-308.5,137,1,0.9957,4
3,-126.0,55,1,0.9951,4
4,-356.0,133,1,0.9936,4
5,-310.0,135,1,0.9921,4
6,-170.5,71,1,0.9913,4
7,-320.0,113,1,0.99,4
8,10.5,1,1,0.99,4
9,-245.5,126,1,0.9886,4
10,-216.0,97,1,0.9875,4
11,-515.5,200,0,0.9852,4
12,-39.5,24,1,0.9849,4
13,-338.0,142,1,0.9833,4
14,-554.5,200,0,0.9811,4
15,-175.5,72,1,0.9803,4
16,-389.0,162,1,0.9784,4
17,-474.0,174,1,0.9765,4
18,-125.0,61,1,0.9758,4
19,-496.0,200,0,0.9735,4
20,-89.0,46,1,0.973,4
21,-84.5,33,1,0.9726,4
22,-78.0,39,1,0.9722,4
23,-90.0,35,1,0.9718,4
24,-1.5,5,1,0.9717,4
25,-74.0,43,1,0.9712,4
26,3.0,5,1,0.9712,4
27,-256.0,97,1,0.9701,4
28,-30.0,18,1,0.9699,4
29,-0.5,5,1,0.9698,6
30,-75.0,32,1,0.9695,6
31,5.5,2,1,0.9694,6
32,-116.5,49,1,0.9689,6
33,-117.0,50,1,0.9683,6
34,-40.5,26,1,0.968,6
35,-106.0,48,1,0.9675,6
36,-2.5,7,1,0.9674,6
37,-34.5,26,1,0.9671,6
38,-112.0,52,1,0.9665,6
39,-163.0,80,1,0.9656,6
40,-220.0,93,1,0.9646,6
41,-369.5,159,1,0.9628,6
42,-453.5,179,1,0.9607,6
43,-424.0,164,1,0.9589,6
44,-155.5,65,1,0.9581,6
45,-145.0,65,1,0.9574,6
46,-6.0,10,1,0.9573,6
47,-22.5,19,1,0.9571,6
48,-459.5,200,0,0.9548,6
49,-43.5,28,1,0.9545,6
50,-102.0,52,1,0.9539,6
51,-483.5,200,0,0.9517,6
52,-20.5,17,1,0.9515,6
53,-60.5,30,1,0.9511,6
54,-31.0,20,1,0.9509,6
55,-32.5,18,1,0.9507,6
56,-96.5,50,1,0.9501,6
57,-43.0,35,1,0.9497,6
58,-123.5,57,1,0.9491,6
59,-60.5,41,1,0.9486,8
60,-284.0,143,1,0.947,8
61,-311.5,122,1,0.9456,8
62,-102.0,44,1,0.9451,8
63,-7.5,8,1,0.945,8
64,-294.5,117,1,0.9437,8
65,4.0,8,1,0.9436,8
66,-164.5,57,1,0.943,8
67,-44.0,26,1,0.9427,8
68,-110.0,41,1,0.9422,8
69,-18.0,11,1,0.9421,8
70,-143.0,68,1,0.9413,8
71,-90.5,50,1,0.9408,8
72,-108.0,48,1,0.9402,8
73,-128.0,62,1,0.9395,8
74,-244.0,98,1,0.9384,8
75,-243.5,102,1,0.9373,8
76,-79.5,40,1,0.9368,8
77,-39.5,29,1,0.9365,8
78,7.0,6,1,0.9364,8
79,-303.0,124,1,0.935,8
80,-538.5,200,0,0.9327,8
81,-31.5,24,1,0.9325,8
82,-165.5,81,1,0.9316,8
83,-222.5,96,1,0.9305,8
84,-74.0,40,1,0.93,8
85,-16.0,12,1,0.9299,8
86,-110.0,52,1,0.9293,8
87,-252.5,102,1,0.9281,8
88,-245.5,102,1,0.927,8
89,-366.5,147,1,0.9253,8
90,-360.5,138,1,0.9238,8
91,-192.5,87,1,0.9228,8
92,-19.5,15,1,0.9226,8
93,-62.0,39,1,0.9222,8
94,-133.0,55,1,0.9215,8
95,-14.5,11,1,0.9214,8
96,-242.0,107,1,0.9202,8
97,-109.5,46,1,0.9197,8
98,-3.0,8,1,0.9196,8
99,-103.0,46,1,0.9191,8
100,-105.5,50,1,0.9185,8
101,-82.5,47,1,0.918,8
102,-131.5,73,1,0.9172,8
103,-74.0,43,1,0.9167,8
104,-94.5,35,1,0.9163,8
105,-252.5,115,1,0.915,8
106,-83.5,44,1,0.9145,8
107,-44.0,21,1,0.9142,8
108,-237.5,128,1,0.9128,8
109,-77.5,43,1,0.9123,8
110,9.5,3,1,0.9123,8
111,-28.5,20,1,0.912,8
112,-51.0,34,1,0.9117,8
113,0.0,4,1,0.9116,8
114,-116.5,51,1,0.911,8
115,-124.0,69,1,0.9103,8
116,-57.0,35,1,0.9099,8
117,-243.0,96,1,0.9088,8
118,-5.5,14,1,0.9086,8
119,-115.0,64,1,0.9079,8
120,-16.5,13,1,0.9077,8
121,4.5,4,1,0.9077,8
122,-91.5,41,1,0.9072,8
123,1.0,7,1,0.9072,8
124,-255.5,125,1,0.9057,8
125,-282.5,127,1,0.9043,8
126,-169.5,74,1,0.9035,8
127,-150.5,75,1,0.9026,8
128,-40.0,30,1,0.9023,8
129,-223.5,99,1,0.9012,8
130,-169.0,83,1,0.9002,8
131,-77.5,40,1,0.8998,8
132,-90.5,49,1,0.8992,8
133,5.0,3,1,0.8992,8
134,-121.0,46,1,0.8987,8
135,-2.5,12,1,0.8985,8
136,-172.0,69,1,0.8978,8
137,-205.0,90,1,0.8967,8
138,9.5,3,1,0.8967,8
139,-27.0,19,1,0.8965,8
140,1.0,9,1,0.8964,8
141,-17.5,10,1,0.8963,8
142,-29.5,22,1,0.896,8
143,-396.0,170,1,0.8941,8
144,9.5,3,1,0.8941,8
145,-19.0,19,1,0.8938,8
146,-2.0,6,1,0.8938,8
147,-34.5,28,1,0.8935,8
148,10.0,2,1,0.8934,8
149,-111.0,41,1,0.893,8
150,-36.0,21,1,0.8927,8
151,10.0,2,1,0.8927,8
152,-54.5,32,1,0.8924,8
153,4.0,8,1,0.8923,8
154,-46.0,23,1,0.892,8
155,-64.5,26,1,0.8917,8
156,8.0,4,1,0.8917,8
157,-179.5,81,1,0.8908,8
158,-44.5,22,1,0.8905,8
159,-39.0,23,1,0.8902,8
160,-106.0,61,1,0.8896,8
161,-3.0,8,1,0.8895,8
162,-90.5,47,1,0.8889,8
163,-175.0,81,1,0.888,8
164,-18.0,14,1,0.8879,8
165,-39.0,20,1,0.8876,8
166,-50.0,19,1,0.8874,8
167,-107.5,60,1,0.8867,8
168,-97.5,58,1,0.8861,8
169,-67.0,35,1,0.8857,8
170,10.5,1,1,0.8857,8
171,-167.0,84,1,0.8847,8
172,-46.0,23,1,0.8845,8
173,-282.0,112,1,0.8832,8
174,-189.0,79,1,0.8823,8
175,-71.5,29,1,0.882,8
