episode,return,length,success,epsilon,curriculum_radius
0,-449.8060556724673,200,0,0.9977,4
1,-423.1399870167182,200,0,0.9955,4
2,-349.7694515382254,167,1,0.9936,4
3,-446.342874653638,200,0,0.9913,4
4,5.3628539373477295,2,1,0.9913,4
5,-209.14303344587518,96,1,0.9902,4
6,-534.2015887871386,200,0,0.988,4
7,-496.63650139669636,200,0,0.9857,4
8,-486.46095706274167,200,0,0.9834,4
9,-509.4317635471627,200,0,0.9812,4
10,-555.905728590985,200,0,0.9789,4
11,-434.8374826411412,200,0,0.9766,4
12,-601.683179296552,200,0,0.9744,4
13,-175.08017950852738,101,1,0.9732,4
14,-473.5232129544026,200,0,0.971,4
15,-193.78589860250574,104,1,0.9698,4
16,-541.4923840314146,200,0,0.9675,4
17,-485.92953009406773,200,0,0.9653,4
18,-421.2015887871391,200,0,0.963,4
19,-511.40033657848875,200,0,0.9608,4
20,-435.90126168479554,200,0,0.9585,4
21,-381.6241380398477,200,0,0.9562,4
22,-459.3936362192039,200,0,0.954,4
23,-488.61046644051913,200,0,0.9517,4
24,-77.02865156630679,46,1,0.9512,4
25,-410.4904776389404,200,0,0.9489,4
26,-222.38017950852745,104,1,0.9477,4
27,-94.9400897542636,52,1,0.9472,4
28,-399.08317929655357,184,1,0.9451,4
29,1.0885618120431886,6,1,0.945,4
30,-246.6116064772013,111,1,0.9438,4
31,-456.7432017351194,200,0,0.9415,4
32,-46.20288759519656,18,1,0.9413,4
33,-491.9869920189187,200,0,0.939,4
34,-414.230184257031,200,0,0.9368,4
35,-30.151471845805634,25,1,0.9365,4
36,-411.2489208082365,200,0,0.9342,4
37,5.3628539373477295,2,1,0.9342,4
38,-379.30284093320415,200,0,0.9319,4
39,-427.97174108773515,200,0,0.9297,4
40,-460.91204570978925,200,0,0.9274,4
41,-529.0260444531839,200,0,0.9252,4
42,-2.897168501218161,14,1,0.925,4
43,-498.05747142185817,200,0,0.9227,4
44,-40.257190939784024,27,1,0.9224,4
45,-457.6489208290981,200,0,0.9202,4
46,-446.28002071629015,200,0,0.9179,4
47,-102.08295491089427,55,1,0.9173,4
48,-405.7067098145688,200,0,0.915,4
49,-6.685730313261352,10,1,0.9149,4
50,-145.09156160006935,77,1,0.914,4
51,-461.450173037748,200,0,0.9118,4
52,-399.6104664405193,200,0,0.9095,4
53,-454.2432017351194,200,0,0.9073,4
54,-469.3666761567199,200,0,0.905,4
55,-76.70866278558968,50,1,0.9044,4
56,-449.55463992307637,200,0,0.9022,4
57,-387.1257173717027,200,0,0.8999,4
58,-427.3539857392514,200,0,0.8976,4
59,-421.4241380815709,200,0,0.8954,4
60,-270.0231007615729,138,1,0.8938,4
61,-430.59429040302894,200,0,0.8916,4
62,-385.8307822818563,200,0,0.8893,4
63,-413.7841043819987,200,0,0.887,4
64,-47.49433700243628,30,1,0.8867,4
65,-492.01618553449754,200,0,0.8844,4
66,-385.92479220281115,200,0,0.8822,4
67,-430.24320173511944,200,0,0.8799,4
68,-5.891449407239758,13,1,0.8798,4
69,-417.5111205826209,200,0,0.8775,4
70,-390.6577984616165,200,0,0.8752,4
71,10.431426968673865,1,1,0.8752,4
72,-393.0832353929682,200,0,0.873,4
73,-422.1412953635061,200,0,0.8707,4
74,-389.1803477977718,200,0,0.8684,4
75,-84.90294369161133,46,1,0.8679,4
76,-424.893963279824,200,0,0.8657,4
77,-6.397168501218161,14,1,0.8655,4
78,-216.46400345017548,124,1,0.8641,4
79,-419.94793958465317,200,0,0.8618,4
80,-47.52576397111015,30,1,0.8615,4
81,-51.251471845805625,26,1,0.8612,4
82,-347.93780968089925,200,0,0.8589,4
83,-157.33153916150349,65,1,0.8582,4
84,-170.86868522415574,71,1,0.8574,4
85,-32.37146062652269,20,1,0.8572,4
86,-348.6003365367656,200,0,0.8549,4
87,-498.2146062652276,200,0,0.8526,4
88,-395.0583965281649,200,0,0.8504,4
89,-38.63720215906696,33,1,0.85,4
90,-431.13682845731614,200,0,0.8478,4
91,-357.44603321303987,186,1,0.8456,4
92,-16.597168501218164,16,1,0.8455,4
93,-354.00066361824713,200,0,0.8432,4
94,-10.754303344587488,11,1,0.8431,4
95,-79.1972245976329,48,1,0.8425,4
96,-113.67723581691591,55,1,0.8419,4
97,-108.42424077739325,72,1,0.8411,4
98,-476.99461748451046,200,1,0.8388,4
99,-390.6755538309619,200,0,0.8366,4
100,-276.4887861977024,132,1,0.8351,4
101,-17.391449407239758,13,1,0.8349,4
102,-24.02859546989202,15,1,0.8348,4
103,-417.80382221937225,200,0,0.8325,4
104,-259.9259322394931,136,1,0.831,4
105,-306.4231568579878,168,1,0.8291,4
106,-74.37434822171927,36,1,0.8287,4
107,-51.51149428437148,38,1,0.8282,4
108,-366.9199982360008,200,0,0.826,4
109,8.294280906021594,3,1,0.8259,4
110,-7.254303344587488,11,1,0.8258,4
111,-29.345752751827245,21,1,0.8256,4
112,-29.665741532544292,17,1,0.8254,4
113,-97.96421833882732,58,1,0.8247,4
114,-110.8201009735466,63,1,0.824,4
115,-21.602887595196567,17,1,0.8238,4
116,-446.43715555965963,200,0,0.8216,4
117,6.157134843369325,5,1,0.8215,4
118,-451.7908047412839,200,0,0.8192,4
119,-71.84008975426354,56,1,0.8186,4
120,1.5514157493909195,7,1,0.8185,6
