episode,return,length,success,epsilon,curriculum_radius
0,-85.8979184165597,51,1,0.9994,4
1,-580.7859545747432,200,0,0.9972,4
2,4.194280908505121,4,1,0.9971,4
3,-618.2859545747425,200,0,0.9949,4
4,4.770710681378841,3,1,0.9948,4
5,-103.28006728092834,56,1,0.9942,4
6,-591.7859545747427,200,0,0.9919,4
7,-5.187867955863476,9,1,0.9918,4
8,-269.8722666059934,103,1,0.9907,4
9,-21.417157274484637,12,1,0.9905,4
10,-10.070016820232077,14,1,0.9904,4
11,9.84714045425256,2,1,0.9903,4
12,-31.757884776095533,23,1,0.9901,4
13,-61.063603867590416,27,1,0.9898,4
14,-290.66515979220503,133,1,0.9883,4
15,-619.2859545747426,200,0,0.986,4
16,-14.764297728737198,10,1,0.9859,4
17,-643.2664283613349,200,0,0.9836,4
18,-63.21646341333788,29,1,0.9833,4
19,-490.2859545747445,200,0,0.981,4
20,-558.2859545747438,200,0,0.9788,4
21,-19.070016820232077,14,1,0.9786,4
22,-490.0280697986489,177,1,0.9766,4
23,-490.9344827483103,170,1,0.9747,4
24,9.84714045425256,2,1,0.9747,4
25,10.42357022712628,1,1,0.9747,4
26,-519.7859545747443,200,0,0.9724,4
27,-130.23864591817068,62,1,0.9717,4
28,-28.063603867590405,27,1,0.9714,4
29,-0.3057190914948791,4,1,0.9714,4
30,-19.646446593105797,15,1,0.9712,4
31,-16.340727501610917,11,1,0.9711,4
32,-246.48370478898318,111,1,0.9698,4
33,-342.9358704735839,130,1,0.9683,6
34,-554.2859545747436,200,0,0.9661,6
35,9.27071068137884,3,1,0.966,6
36,-611.2859545747427,200,0,0.9638,6
37,-103.66862909793862,48,1,0.9632,6
38,-582.2176128278172,200,0,0.961,6
39,-546.207849721114,200,0,0.9587,6
40,-642.2859545747422,200,0,0.9564,6
41,-104.08578637242324,60,1,0.9558,6
42,-549.717612827817,200,0,0.9535,6
43,-23.375735911726945,18,1,0.9533,6
44,-89.1750420505802,35,1,0.9529,6
45,-80.98076114207511,39,1,0.9525,6
46,-83.71005046069622,42,1,0.952,6
47,-22.375735911726952,18,1,0.9518,6
48,-107.55077796230724,53,1,0.9512,6
49,-222.19081160277148,81,1,0.9503,6
50,-405.0759041140481,158,1,0.9485,6
51,-74.90433136920136,38,1,0.9481,6
52,-588.7859545747427,200,0,0.9458,6
53,-562.2859545747434,200,0,0.9435,6
54,-577.2859545747433,200,0,0.9413,6
55,9.27071068137884,3,1,0.9412,6
56,2.0414213627576814,6,1,0.9412,6
57,-561.7566652546319,200,0,0.9389,6
58,-109.12720773518089,54,1,0.9383,6
59,-308.7480025177204,121,1,0.9369,6
60,-66.13362068782249,41,1,0.9365,6
61,-178.42651387403427,71,1,0.9357,6
62,-501.14927108089194,200,0,0.9334,6
63,-16.528595457474395,20,1,0.9332,6
64,3.194280908505121,4,1,0.9331,6
65,-31.410744321842966,25,1,0.9328,6
66,9.84714045425256,2,1,0.9328,6
67,-142.31507569104443,63,1,0.9321,6
68,-568.2859545747435,200,0,0.9298,6
69,-42.17504205058013,35,1,0.9295,6
70,-99.90433136920136,38,1,0.929,6
71,-290.3429772858821,103,1,0.9279,6
72,-571.7859545747432,200,0,0.9256,6
73,9.84714045425256,2,1,0.9256,6
74,-54.82790159632758,37,1,0.9252,6
75,-540.7859545747439,200,0,0.9229,6
76,-541.6883235077064,200,0,0.9206,6
77,-96.01576955219113,46,1,0.9201,6
78,-328.8594407007102,129,1,0.9187,6
79,-195.46152228415033,78,1,0.9178,6
80,-32.91715727448464,12,1,0.9176,6
81,-200.02512615174084,105,1,0.9164,6
82,-459.82737593750215,194,1,0.9143,6
83,-316.2415895650788,134,1,0.9127,6
84,-179.9679352367919,65,1,0.912,8
85,-87.2450588708123,49,1,0.9114,8
86,-106.55719091494886,40,1,0.911,8
87,9.84714045425256,2,1,0.911,8
88,-589.7273759345206,200,0,0.9087,8
89,-559.2859545747433,200,0,0.9064,8
90,-615.2859545747428,200,0,0.9042,8
91,-294.25441547036195,108,1,0.903,8
92,-117.73864591817073,62,1,0.9023,8
93,-519.2859545747444,200,0,0.9,8
94,-538.7859545747442,200,0,0.8977,8
95,-112.62720773518095,54,1,0.8971,8
96,-588.6980866144096,200,0,0.8949,8
97,-613.7664283613352,200,0,0.8926,8
98,3.3885618170102427,8,1,0.8925,8
99,-544.7664283613359,200,0,0.8903,8
100,-549.7859545747438,200,0,0.888,8
101,-536.2859545747439,200,0,0.8857,8
102,-499.78595457474455,200,0,0.8835,8
103,-357.39444911082626,136,1,0.8819,8
104,-274.5601345618569,112,1,0.8807,8
105,-82.7450588708123,49,1,0.8801,8
106,-276.1015559246145,106,1,0.8789,8
107,-7.1464465931057966,15,1,0.8787,8
108,-209.92010092139265,84,1,0.8778,8
109,-48.563603867590416,27,1,0.8775,8
110,-602.2859545747426,200,0,0.8752,8
111,-97.78006728092836,56,1,0.8746,8
112,-66.36291000644367,44,1,0.8741,8
113,-557.7859545747436,200,0,0.8718,8
114,-184.6558031926554,74,1,0.871,8
115,-581.7859545747431,200,0,0.8687,8
116,-135.73223296552908,75,1,0.8679,8
117,-210.72582001288754,88,1,0.8669,8
118,-140.9679352367919,65,1,0.8662,8
119,-315.7480025177204,121,1,0.8648,8
120,-593.2859545747432,200,0,0.8625,8
121,-49.68145500322183,22,1,0.8623,8
122,-1.687867955863478,9,1,0.8622,8
123,-454.8402018427854,168,1,0.8603,8
124,-44.83431454896926,24,1,0.86,8
125,-567.2859545747435,200,0,0.8577,8
126,-119.62720773518097,54,1,0.8571,8
127,-304.59109895527394,126,1,0.8557,8
128,-489.3671222195035,189,1,0.8536,8
129,-170.62986402660627,87,1,0.8526,8
130,-53.59861227770641,34,1,0.8522,8
131,-41.910744321842955,25,1,0.8519,10
132,-228.83725819587733,96,1,0.8508,10
133,-555.7761914680399,200,0,0.8486,10
134,-98.16862909793862,48,1,0.848,10
135,-149.96793523679193,65,1,0.8473,10
136,-498.59808661888104,191,1,0.8451,10
137,-583.7859545747431,200,0,0.8429,10
138,-551.285954574744,200,0,0.8406,10
139,-393.49947434117445,157,1,0.8388,10
140,-506.7859545747445,200,0,0.8366,10
141,-540.2859545747435,200,0,0.8343,10
142,-153.66221614529704,61,1,0.8336,10
143,-353.8530277480686,142,1,0.832,10
144,-538.7859545747439,200,0,0.8297,10
145,-38.987174094716664,26,1,0.8295,10
146,-260.5089500923954,118,1,0.8281,10
147,-511.28595457474455,200,0,0.8259,10
148,-78.63362068782254,41,1,0.8254,10
149,-558.2859545747438,200,0,0.8231,10
150,-69.40433136920136,38,1,0.8227,10
151,-294.60155592461456,106,1,0.8215,10
152,10.42357022712628,1,1,0.8215,10
153,-595.785954574743,200,0,0.8192,10
154,-130.35649705380214,57,1,0.8186,10
155,-106.7450588708123,49,1,0.818,10
156,-420.1785604010032,200,0,0.8158,10
157,-576.2859545747434,200,0,0.8135,10
158,-302.2830109278365,128,1,0.8121,10
159,-4.035008410116038,7,1,0.812,10
160,-586.785954574743,200,0,0.8097,10
161,-239.3274950891736,96,1,0.8086,10
162,-538.7859545747436,200,0,0.8064,10
163,-527.2859545747441,200,0,0.8041,10
164,-419.05164001385435,200,0,0.8018,10
165,-122.16221614529701,61,1,0.8012,10
166,-264.09583682715925,114,1,0.7999,10
167,-485.71761282781824,200,0,0.7976,10
168,-443.47353516022423,200,0,0.7953,10
169,-460.6297448674845,200,0,0.7931,10
170,-380.4344827334092,200,0,0.7908,10
171,-471.2859545747445,200,0,0.7886,10
172,-560.2859545747436,200,0,0.7863,10
173,-397.5516400138543,200,0,0.784,10
174,-524.7859545747443,200,0,0.7818,10
175,-390.6004555473731,200,0,0.7795,10
176,-37.5636038675904,27,1,0.7792,10
177,-342.61021865407685,200,0,0.7769,10
178,-86.59219932506481,47,1,0.7764,10
179,-390.45400894681666,200,0,0.7741,10
180,-68.90433136920136,38,1,0.7737,10
181,-130.16221614529698,61,1,0.773,10
182,-116.35008410116046,70,1,0.7722,10
183,-130.88509251127655,77,1,0.7714,10
184,-83.71005046069627,42,1,0.7709,10
185,-346.1102186540768,200,0,0.7686,10
186,-405.5614031205581,200,0,0.7664,10
187,-460.61998176078066,200,0,0.7641,10
188,-531.7859545747443,200,0,0.7618,10
189,-119.05077796230722,53,1,0.7612,10
190,-150.72582001288745,88,1,0.7602,10
191,-65.29289318621157,30,1,0.7599,10
192,-514.7859545747444,200,0,0.7576,10
193,-529.2859545747441,200,0,0.7554,10
194,-112.16862909793862,48,1,0.7548,10
195,-379.09069244066933,200,0,0.7526,10
