episode,return,length,success,epsilon,curriculum_radius
0,-78.26856966714067,49,1,0.9994,4
1,-2.246446615457536,6,1,0.9994,4
2,9.917851128180821,2,1,0.9994,4
3,-261.9931458473209,99,1,0.9982,4
4,-533.6172561049464,200,0,0.996,4
5,-188.7704726676148,82,1,0.995,4
6,-62.396530820926046,34,1,0.9947,4
7,4.3357022563616425,4,1,0.9946,4
8,-49.48578646183013,24,1,0.9943,4
9,-5.205372179547947,5,1,0.9943,4
10,-6.903003256519636,11,1,0.9942,4
11,-208.9347704112532,86,1,0.9932,4
12,-404.0069776684051,151,1,0.9915,4
13,10.45892556409041,1,1,0.9915,4
14,-235.9109969755017,97,1,0.9904,4
15,-119.06082856456447,38,1,0.9899,4
16,-377.9016054888571,152,1,0.9882,4
17,-75.10900976955897,27,1,0.9879,4
18,10.45892556409041,1,1,0.9879,4
19,-242.77884810368246,92,1,0.9869,4
20,-72.15008420546853,28,1,0.9866,4
21,-122.08705512881286,52,1,0.986,4
22,-39.94471202592054,23,1,0.9857,4
23,-4.328595487276715,8,1,0.9856,4
24,-9.369669923186304,9,1,0.9855,4
25,-178.04843382140018,76,1,0.9847,4
26,-68.49653082092607,40,1,0.9842,4
27,-365.9313854376479,145,1,0.9826,4
28,-162.0555405904851,64,1,0.9818,4
29,-128.56328169306136,63,1,0.9811,6
30,9.917851128180821,2,1,0.9811,6
31,-369.03075110415654,140,1,0.9795,6
32,-487.1172561049467,200,0,0.9773,6
33,-252.45207141141123,98,1,0.9761,6
34,-512.9464017202463,200,0,0.9739,6
35,-181.9585438470047,75,1,0.973,6
36,-80.39834961593156,48,1,0.9725,6
37,-19.58396766682466,16,1,0.9723,6
38,-34.780414282282194,19,1,0.9721,6
39,10.45892556409041,1,1,0.9721,6
40,3.3357022563616425,4,1,0.972,6
41,-149.75909397502755,55,1,0.9714,6
42,-331.17901651461966,154,1,0.9697,6
43,-312.5027057449026,112,1,0.9684,6
44,-14.050634333491328,14,1,0.9683,6
45,-457.29995510478847,200,0,0.966,6
46,-539.5684405664604,200,0,0.9637,6
47,-204.7633658985299,94,1,0.9627,6
48,-241.7729257961117,107,1,0.9615,6
49,-3.7875210513671256,7,1,0.9614,6
50,-28.739339846372598,18,1,0.9612,6
51,-275.24669923186326,93,1,0.9601,6
52,-34.57504210273426,14,1,0.96,6
53,5.753553384542465,6,1,0.9599,6
54,-176.47584484716282,87,1,0.9589,6
55,-265.3609969755016,94,1,0.9578,6
56,-411.53739195068715,185,1,0.9558,6
57,-98.29953407744577,45,1,0.9552,6
58,9.917851128180821,2,1,0.9552,6
59,7.294627820452054,5,1,0.9552,8
60,-216.5805826932194,75,1,0.9543,8
61,-20.65719097455343,16,1,0.9541,8
62,-10.477411025762557,14,1,0.954,8
63,-142.9233917186659,59,1,0.9533,8
64,-87.55308746198816,39,1,0.9529,8
65,-76.98760525683565,38,1,0.9524,8
66,-361.3998708993201,157,1,0.9507,8
67,-88.88942405184115,46,1,0.9501,8
68,-428.60524307886806,162,1,0.9483,8
69,-40.15719097455343,16,1,0.9481,8
70,-17.369669923186304,9,1,0.948,8
71,-11.992893230915072,12,1,0.9479,8
72,-5.4851521283388145,13,1,0.9477,8
73,-139.75198720594258,67,1,0.947,8
74,-465.75113956630287,200,0,0.9447,8
75,-331.6194566170378,138,1,0.9432,8
76,-434.2302851816023,179,1,0.9411,8
77,-394.9754631300771,163,1,0.9393,8
78,-21.739339846372605,18,1,0.9391,8
79,-231.67474459111716,115,1,0.9378,8
80,-148.50672505199915,64,1,0.9371,8
81,-82.58823959032696,55,1,0.9365,8
82,-6.38633658985297,10,1,0.9363,8
83,-7.567301000157993,15,1,0.9362,8
84,-25.033967666824655,13,1,0.936,8
85,-269.85570900142227,120,1,0.9347,8
86,4.876776692271232,3,1,0.9346,8
87,-80.63523633380736,41,1,0.9342,8
88,-0.7053721795479468,5,1,0.9341,8
89,-278.8801167706652,120,1,0.9328,8
90,-91.8579095135133,58,1,0.9321,8
91,-174.77821377019103,81,1,0.9312,8
92,1.145812281966208,11,1,0.9311,8
93,-0.320854384700457,9,1,0.931,8
94,-89.13587066729868,52,1,0.9304,8
95,-184.29488043685774,82,1,0.9294,8
96,-26.033967666824662,13,1,0.9293,8
97,-130.3483496159316,45,1,0.9288,8
98,-287.1110811809702,128,1,0.9273,8
99,-152.84306164185216,71,1,0.9265,8
100,-312.76827215552373,144,1,0.9249,8
101,-103.5144661545754,63,1,0.9242,8
102,-229.6830358217163,106,1,0.923,8
103,-45.28997417986392,32,1,0.9226,8
104,8.376776692271232,3,1,0.9226,8
105,-21.591708769400913,15,1,0.9224,8
106,-12.19826541046302,17,1,0.9222,8
107,-60.62749523123101,42,1,0.9218,8
108,-0.16429774363835747,4,1,0.9217,8
109,-293.0974177708232,144,1,0.9201,8
110,-154.82639497518556,70,1,0.9193,8
111,-228.75625912944506,106,1,0.9181,8
112,-50.56793533364929,26,1,0.9178,8
113,-29.533967666824655,13,1,0.9177,8
114,-89.78286741077902,44,1,0.9172,8
115,-67.77330751319727,31,1,0.9168,8
116,-91.28532053927583,69,1,0.916,8
117,-151.16983833412343,65,1,0.9153,8
